"evidence_id","concept_code","person_relevance","original_source_name","original_url","resolved_source_name","resolved_url","verification_finding","audit_status"
"AV2N-A-0011","BEEF_CHEEK","Georgia|Tobias","MeinMetzger – Fleisch und Innereien","https://meinmetzger.de/index.php/fleisch/innereien.html","MeinMetzger – Irische Ochsenbäckchen / Rinderbäckchen","https://meinmetzger.de/index.php/irische-ochsenbaeckchen-rinderbaeckchen.html","Die Produktseite zeigt frische vakuumverpackte Rinderbäckchen in wählbaren Gewichten, mit Preis, Warenkorb und Eignung zum Schmoren.","RESOLVED_VERIFIED"
"AV2N-A-0012","BEEF_HEART","Georgia|Tobias","MeinMetzger – Fleisch und Innereien","https://meinmetzger.de/index.php/fleisch/innereien.html","MeinMetzger – Rinderherz, kaum Kranzfett","https://meinmetzger.de/index.php/rinderherz-kaum-kranzfett.html","Die Produktseite führt entfettetes Rinderherz mit kaum Kranzfett als aktuell bepreiste und bestellbare Herzform.","RESOLVED_VERIFIED"
"AV2N-A-0013","BEEF_LIVER","Georgia|Tobias","MeinMetzger – Fleisch und Innereien","https://meinmetzger.de/index.php/fleisch/innereien.html","MeinMetzger – Rinderleber in Scheiben","https://meinmetzger.de/index.php/rinderleber-in-scheiben.html","Die konkrete Produktseite weist rohe Rinderleber bereits in Scheiben aus und bietet sie mit Preis im Warenkorb an.","RESOLVED_VERIFIED"
"AV2N-A-0014","BEEF_SHIN","Georgia|Tobias","MeinMetzger – Fleisch und Innereien","https://meinmetzger.de/index.php/fleisch/innereien.html","MeinMetzger – Beinscheibe vom Rind","https://meinmetzger.de/index.php/beinscheibe-vom-rind.html","MeinMetzger zeigt vollfleischige Rinderbeinscheiben von etwa drei Zentimetern Stärke mit Preis und direkter Bestellmöglichkeit.","RESOLVED_VERIFIED"
"AV2N-A-0015","BEEF_SHORT_RIBS","Georgia|Tobias","MeinMetzger – Fleisch und Innereien","https://meinmetzger.de/index.php/fleisch/innereien.html","REWE – Short Ribs","https://www.rewe.de/shop/p/short-ribs/8655897","Die offizielle REWE-Produktseite nennt ausdrücklich Short Ribs aus der Fleisch-Servicetheke und kennzeichnet die Rinderrippen als gekühlte Ware.","RESOLVED_VERIFIED"
"AV2N-A-0016","BEEF_TONGUE","Georgia|Tobias","MeinMetzger – Fleisch und Innereien","https://meinmetzger.de/index.php/fleisch/innereien.html","MeinMetzger – Rinderzunge","https://meinmetzger.de/index.php/rinderzunge.html","Die Produktseite bietet gereinigte und entfettete Rinderzunge in wählbaren Gewichten aktuell zum Kauf an.","RESOLVED_VERIFIED"
"AV2N-A-0028","BONE_MARROW","Georgia|Tobias","MeinMetzger – Fleisch und Innereien","https://meinmetzger.de/index.php/fleisch/innereien.html","MeinMetzger – Markknochen","https://meinmetzger.de/index.php/markknochen.html","Die konkrete Seite führt gesägte Rinder-Markknochen mit sichtbarem Preis und Warenkorb; damit ist das zum Rösten oder Auslassen benötigte Knochenmark formgenau belegt.","RESOLVED_VERIFIED"
"AV2N-A-0102","GAME_MEAT","Georgia|Tobias","MeinMetzger – Fleisch und Innereien","https://meinmetzger.de/index.php/fleisch/innereien.html","MeinMetzger – Wildfleisch","https://meinmetzger.de/index.php/fleisch/wildfleisch.html","Die aktuelle Wildfleisch-Kategorie zeigt mehrere bepreiste und bestellbare Arten und Zuschnitte, darunter Hirsch, Reh und Wildschwein, und passt damit zur bewusst offenen Wildfleischform.","RESOLVED_VERIFIED"
"AV2N-A-0128","LAMB","Georgia|Tobias","MeinMetzger – Fleisch und Innereien","https://meinmetzger.de/index.php/fleisch/innereien.html","MeinMetzger – Lammfleisch","https://meinmetzger.de/index.php/fleisch/lammfleisch.html","Die Lammfleisch-Kategorie zeigt aktuell zahlreiche bepreiste und bestellbare Zuschnitte vom jungen Lamm und erfüllt damit die offene Fleischvorgabe ohne Festlegung auf einen Cut.","RESOLVED_VERIFIED"
"AV2N-A-0130","LAMB_CHOP","Georgia|Tobias","MeinMetzger – Fleisch und Innereien","https://meinmetzger.de/index.php/fleisch/innereien.html","MeinMetzger – Lammkotelett Stiel portioniert","https://meinmetzger.de/index.php/lammkotelett-stiel-portioniert.html","Die Produktseite zeigt portionierte Lammkoteletts mit Stielknochen für Grill und Pfanne, inklusive Preis und Warenkorb.","RESOLVED_VERIFIED"
