"concept_code","display_name","challenge_specificity","direct_parent_codes","direct_child_codes","curator_note","review_applicability"
"ADZUKI_BEANS","Adzukibohnen","SPECIFIC","BEANS","","Kleine rote Bohnen mit mild-nussigem, leicht süßlichem Geschmack; getrocknet oder vorgegart verwendbar.","APPLICABLE"
"AGAVE_SYRUP","Agavendicksaft","SPECIFIC","SYRUP","","Konzentrierter Sirup aus Agaven; süßt neutraler als Honig und bleibt auch kalt gut löslich.","APPLICABLE"
"AIOLI","Aioli","SPECIFIC","READY_SAUCES_AND_PASTES","","Knoblauch-Öl-Emulsion nach Aioli-/Allioli-Art; traditionell ohne Ei möglich, moderne Varianten können Ei enthalten. Knoblauch und Öl sind definierend; nicht beliebige Mayonnaise mit Knoblaucharoma.","APPLICABLE"
"AJVAR","Ajvar","SPECIFIC","BELL_PEPPER|PRESERVED_PRODUCE|READY_SAUCES_AND_PASTES","","Balkanische Paprikazubereitung aus gerösteter Paprika, häufig mit Aubergine; als fertige Würzpaste oder Beilage gemeint.","APPLICABLE"
"AJWAIN","Ajwain","SPECIFIC","SPICES","","Kräftig thymianartig schmeckende Samenfrucht, die meist sparsam und häufig angeröstet als Gewürz verwendet wird.","APPLICABLE"
"ALFALFA_SPROUTS","Alfalfasprossen","SPECIFIC","SPROUTS","","Zarte Luzernensprossen mit mild-grünem Geschmack; vor allem roh oder nur sehr kurz erhitzt verwendbar.","APPLICABLE"
"ALIGUE","Aligue","SPECIFIC","READY_SAUCES_AND_PASTES","","Philippinische Würzpaste aus ausgelassenem Krabbenfett mit intensiv meeresfruchtig-röstigem Aroma; meist sparsam zum Aromatisieren verwendet.","APPLICABLE"
"ALLIUM_VEGETABLES","Lauch- und Zwiebelgemüse","OPEN","VEGETABLES","CHIVES|GARLIC|GARLIC_CHIVES|LEEK|ONION|SHALLOT|SPRING_ONION","Offene Vorgabe für Zwiebel-, Lauch- und verwandte Gemüsearten mit schwefelig-aromatischer Würzwirkung.","APPLICABLE"
"ALLSPICE","Piment","SPECIFIC","SPICES","","Getrocknete Pimentbeeren mit Aromen, die an Nelke, Zimt und Muskat erinnern; nicht mit einer Gewürzmischung verwechseln.","APPLICABLE"
"ALMOND","Mandeln","SPECIFIC","NUTS","ALMOND_BUTTER|MARZIPAN","Mandeln mit mild-nussigem Geschmack; ganz, gehackt, gemahlen oder blanchiert einsetzbar.","APPLICABLE"
"ALMOND_BUTTER","Mandelmus","SPECIFIC","ALMOND|NUT_AND_SEED_PASTES","","Fein vermahlene Mandelpaste, ungesüßt oder leicht gesüßt; nicht Marzipan oder bloßes Mandelaroma.","APPLICABLE"
"ALMOND_DRINK","Mandeldrink","SPECIFIC","PLANT_DRINKS","","Flüssiger Pflanzendrink auf Mandelbasis; gesüßte und ungesüßte Varianten sind umfasst.","APPLICABLE"
"AMARANTH","Amaranth","SPECIFIC","GRAINS","","Kleine glutenfreie Pseudogetreidekörner mit leicht nussigem Geschmack; ganz gekocht oder gepufft verwendbar.","APPLICABLE"
"ANCHO_CHILI","Ancho-Chili","SPECIFIC","DRIED_CHILI","","Getrocknete reife Poblano-Chili mit milder Schärfe und fruchtig-rosinigem Aroma; nicht die frische grüne Poblano.","APPLICABLE"
"ANCHOVIES","Sardellen","SPECIFIC","OILY_FISH","","Kleine fettreiche Fische, als Kochzutat meist gesalzen und in Öl oder Lake konserviert; lösen sich beim Garen oft würzend auf.","APPLICABLE"
"ANNATTO","Annatto","SPECIFIC","SPICES","","Samen des Achiote-Strauchs, die Speisen orange-rot färben und mild erdig-pfeffrig würzen; ganz oder gemahlen verwendbar.","APPLICABLE"
"APPLE","Apfel","SPECIFIC","POME_FRUIT","","Apfel als frische Frucht; Sorte und Verhältnis von Süße, Säure und Festigkeit bleiben offen.","APPLICABLE"
"APPLE_CIDER_VINEGAR","Apfelessig","SPECIFIC","VINEGAR","","Aus Apfelwein vergorener Essig mit fruchtiger Säure; nicht Apfelsaft oder Cider.","APPLICABLE"
"APRICOT","Aprikose","SPECIFIC","STONE_FRUIT","DRIED_APRICOT","Aprikose als frische oder ungesüßt tiefgekühlte Steinfrucht mit süß-säuerlichem, aromatischem Fruchtfleisch.","APPLICABLE"
"AQUAVIT","Aquavit","SPECIFIC","COOKING_ALCOHOL","","Mit Kümmel, Dill oder anderen Gewürzen aromatisierte skandinavische Spirituose, die sich auch zum Würzen beim Kochen eignet; nicht auf eine Marke oder ein nationales Rezept beschränkt.","APPLICABLE"
"ARTICHOKE","Artischocke","SPECIFIC","FLOWER_VEGETABLES","","Essbare Blütenknospe mit fleischigem Boden und herb-nussigem Geschmack; frisch oder schlicht konserviert verwendbar.","APPLICABLE"
"ARUGULA","Rucola","SPECIFIC","SALAD_GREENS","","Pfeffrig-scharfer Blattsalat, auch Rauke genannt; roh oder kurz zusammenfallend einsetzbar.","APPLICABLE"
"ASPARAGUS","Spargel","SPECIFIC","STEM_VEGETABLES","GREEN_ASPARAGUS|WHITE_ASPARAGUS","Spargel als offene Farb- und Sortenwahl; grüner und weißer Spargel sind bekannte Ausprägungen mit unterschiedlicher Zubereitung.","APPLICABLE"
"AVOCADO","Avocado","SPECIFIC","TROPICAL_FRUIT","","Cremige, fettreiche Frucht mit mild-nussigem Geschmack; gemeint ist das Fruchtfleisch, nicht Avocadoöl.","APPLICABLE"
"BACON","Bacon","SPECIFIC","CURED_MEAT|PORK","","Gepökelter, meist geräucherter Schweinebauch nach Bacon-Art; Scheibendicke und Räucherung können variieren.","APPLICABLE"
