"concept_code"	"display_name"	"review_applicability"	"product_form_basis"	"proposed_availability_georgia"	"availability_note_georgia"	"availability_evidence_georgia"	"proposed_availability_tobias"	"availability_note_tobias"	"availability_evidence_tobias"	"review_flags"	"approval_status"
"ADZUKI_BEANS"	"Adzukibohnen"	"APPLICABLE"	"Kleine rote Bohnen mit mild-nussigem, leicht süßlichem Geschmack; getrocknet oder vorgegart verwendbar."	"PLANNED"	"Georgia: Die definierte Produktform ist über einen konkret planbaren gut sortierten Markt, einen bekannten erreichbaren Fachladen oder unkomplizierten deutschen Versand zuverlässig beschaffbar."	""	"PLANNED"	"Tobias: Die definierte Produktform ist über einen konkret planbaren gut sortierten Markt, ein bekanntes Rostocker Fachsortiment oder unkomplizierten deutschen Versand zuverlässig beschaffbar."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"AGAVE_SYRUP"	"Agavendicksaft"	"APPLICABLE"	"Konzentrierter Sirup aus Agaven; süßt neutraler als Honig und bleibt auch kalt gut löslich."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"AIOLI"	"Aioli"	"APPLICABLE"	"Knoblauch-Öl-Emulsion nach Aioli-/Allioli-Art; traditionell ohne Ei möglich, moderne Varianten können Ei enthalten. Knoblauch und Öl sind definierend; nicht beliebige Mayonnaise mit Knoblaucharoma."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"AJVAR"	"Ajvar"	"APPLICABLE"	"Balkanische Paprikazubereitung aus gerösteter Paprika, häufig mit Aubergine; als fertige Würzpaste oder Beilage gemeint."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"AJWAIN"	"Ajwain"	"APPLICABLE"	"Kräftig thymianartig schmeckende Samenfrucht, die meist sparsam und häufig angeröstet als Gewürz verwendet wird."	"PLANNED"	"Georgia: Die definierte Produktform ist über einen konkret planbaren gut sortierten Markt, einen bekannten erreichbaren Fachladen oder unkomplizierten deutschen Versand zuverlässig beschaffbar."	""	"PLANNED"	"Tobias: Die definierte Produktform ist über einen konkret planbaren gut sortierten Markt, ein bekanntes Rostocker Fachsortiment oder unkomplizierten deutschen Versand zuverlässig beschaffbar."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"ALFALFA_SPROUTS"	"Alfalfasprossen"	"APPLICABLE"	"Zarte Luzernensprossen mit mild-grünem Geschmack; vor allem roh oder nur sehr kurz erhitzt verwendbar."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"ALIGUE"	"Aligue"	"APPLICABLE"	"Philippinische Würzpaste aus ausgelassenem Krabbenfett mit intensiv meeresfruchtig-röstigem Aroma; meist sparsam zum Aromatisieren verwendet."	"DIFFICULT"	"Georgia: Für echte philippinische Aligue wurde weder im erreichbaren Köln-/Düsseldorf-Sortiment noch im deutschen Versand ein wiederholbarer Bezugsweg gefunden; Herkunftslandangebote reichen nicht."	"EV29"	"DIFFICULT"	"Tobias: Für echte philippinische Aligue wurde weder im Rostocker Umfeld noch im deutschen Versand ein wiederholbarer Bezugsweg gefunden; eine Georgienreise ist hierfür kein passender Vorratsweg."	"EV29"	"REFERENCE_ANCHOR"	"APPROVED_REFERENCE_ANCHOR"
"ALLIUM_VEGETABLES"	"Lauch- und Zwiebelgemüse"	"APPLICABLE"	"Offene Vorgabe für Zwiebel-, Lauch- und verwandte Gemüsearten mit schwefelig-aromatischer Würzwirkung."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"ALLSPICE"	"Piment"	"APPLICABLE"	"Getrocknete Pimentbeeren mit Aromen, die an Nelke, Zimt und Muskat erinnern; nicht mit einer Gewürzmischung verwechseln."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"ALMOND"	"Mandeln"	"APPLICABLE"	"Mandeln mit mild-nussigem Geschmack; ganz, gehackt, gemahlen oder blanchiert einsetzbar."	"EASY"	"Georgia: Die definierte Produktform ist in der Bornheimer Basisversorgung über den großen Edeka oder eine vergleichbar alltägliche Bezugsquelle spontan und zuverlässig erhältlich."	""	"EASY"	"Tobias: Die definierte Produktform ist in der Rostocker Basisversorgung über den großen Edeka, einen kleineren breit sortierten Asia-Laden oder eine vergleichbar alltägliche Quelle spontan und zuverlässig erhältlich."	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
