"concept_code"	"display_name"	"review_applicability"	"proposed_cooking_novelty"	"novelty_rationale"	"review_flags"	"approval_status"
"ADZUKI_BEANS"	"Adzukibohnen"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"AGAVE_SYRUP"	"Agavendicksaft"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"AIOLI"	"Aioli"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"AJVAR"	"Ajvar"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"AJWAIN"	"Ajwain"	"APPLICABLE"	"3"	"Klassisches Gewürz in südasiatischen Gerichten, außerhalb dieses Kontexts jedoch deutlich richtungsgebend."	"BOUNDARY_2_3|CHANGED_FROM_BASELINE|LARGE_CHANGE"	"PROPOSED_FOR_HUMAN_REVIEW"
"ALFALFA_SPROUTS"	"Alfalfasprossen"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"ALIGUE"	"Aligue"	"APPLICABLE"	"4"	"Die intensive Krabbenfettpaste hat nur wenige naheliegende Würzrollen und prägt ein Gericht sehr stark."	"APPROVED_ANCHOR|LEVEL_4|CHANGED_FROM_BASELINE"	"APPROVED_ANCHOR"
"ALLIUM_VEGETABLES"	"Lauch- und Zwiebelgemüse"	"APPLICABLE"	"1"	"Die breite offene Familie umfasst zahlreiche selbstverständliche Alltagszutaten."	"BROAD_CONCEPT"	"PROPOSED_FOR_HUMAN_REVIEW"
"ALLSPICE"	"Piment"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"ALMOND"	"Mandeln"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"ALMOND_BUTTER"	"Mandelmus"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"ALMOND_DRINK"	"Mandeldrink"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"AMARANTH"	"Amaranth"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"ANCHO_CHILI"	"Ancho-Chili"	"APPLICABLE"	"3"	"Als getrocknete Chili in mexikanischen Saucen konventionell, darüber hinaus aber klar kontextgebunden."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"ANCHOVIES"	"Sardellen"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"ANNATTO"	"Annatto"	"APPLICABLE"	"3"	"Als Farb- und Würzmittel in bestimmten lateinamerikanischen und philippinischen Kontexten konventionell."	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"APPLE"	"Apfel"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"APPLE_CIDER_VINEGAR"	"Apfelessig"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"APRICOT"	"Aprikose"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"AQUAVIT"	"Aquavit"	"APPLICABLE"	"4"	"Als Kochzutat auf wenige Saucen, Marinaden und skandinavisch geprägte Anwendungen begrenzt."	"LEVEL_4|CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"ARTICHOKE"	"Artischocke"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"ARUGULA"	"Rucola"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"ASPARAGUS"	"Spargel"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"AVOCADO"	"Avocado"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BACON"	"Bacon"	"APPLICABLE"	"1"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BAGOONG"	"Bagoong"	"APPLICABLE"	"3"	"In philippinischen Gerichten konventionell, gemeinsam aber klar kontext- und richtungsgebunden."	"APPROVED_ANCHOR|CHANGED_FROM_BASELINE"	"APPROVED_ANCHOR"
"BAGOONG_ALAMANG"	"Bagoong alamang"	"APPLICABLE"	"3"	"Die fermentierte Garnelenwürze ist im philippinischen Kontext konventionell, außerhalb davon stark richtungsgebend."	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BAGOONG_ISDA"	"Bagoong isda"	"APPLICABLE"	"3"	"Die fermentierte Fischwürze ist im philippinischen Kontext konventionell, außerhalb davon stark richtungsgebend."	"APPROVED_ANCHOR|CHANGED_FROM_BASELINE"	"APPROVED_ANCHOR"
"BAGUETTE"	"Baguette"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BAKED_GOODS"	"Backware"	"NOT_APPLICABLE_STRUCTURE"	"NOT_APPLICABLE"	"Reiner, ausdrücklich freigegebener Strukturknoten."	""	"APPROVED_NOT_APPLICABLE"
"BALSAMIC_VINEGAR"	"Balsamico"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BAMBOO_SHOOTS"	"Bambussprossen"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BANANA"	"Banane"	"APPLICABLE"	"2"	""	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BANANA_BLOSSOM"	"Bananenblüte"	"APPLICABLE"	"3"	"Als Gemüse in süd- und südostasiatischen Gerichten etabliert, im gemeinsamen Alltag jedoch klar richtungsgebend."	"PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BANANA_KETCHUP"	"Bananenketchup"	"APPLICABLE"	"3"	"Philippinische Würzsauce mit vertrauter Saucenrolle, aber deutlich kontextgebundenem Geschmacksprofil."	"CHANGED_FROM_BASELINE"	"PROPOSED_FOR_HUMAN_REVIEW"
"BANANA_LEAVES"	"Bananenblätter"	"APPLICABLE"	"3"	"Als aromatisierende Garhülle etabliert, aber die Verwendung legt Technik und kulinarische Richtung deutlich fest."	"APPROVED_ANCHOR|CHANGED_FROM_BASELINE"	"APPROVED_ANCHOR"
"BARBECUE_SAUCE"	"Barbecuesauce"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BARLEY"	"Gerste"	"APPLICABLE"	"2"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BASIL"	"Basilikum"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
"BASMATI_RICE"	"Basmatireis"	"APPLICABLE"	"1"	""	""	"PROPOSED_FOR_HUMAN_REVIEW"
