"evidence_id","concept_code","person_relevance","source_name","url","audit_finding","required_action","audit_status"
"AV2N-A-0007","AQUAVIT","Georgia|Tobias","Jashopping – Spirituosen und Wein","https://www.jashopping.de/","Die ursprüngliche Jashopping-Domainroot belegte weder Aquavit-Form noch Bestand. AV2N-A-0007 wurde am 2026-09-04 auf die konkrete Conalco-Seite für O.P. Anderson Aquavit Dill Bio umgestellt; Dill, Kümmel, Lagerbestand und Deutschlandversand sind dort sichtbar.","Abgeschlossen: die kanonische Evidenz nutzt https://www.conalco.de/o.p.-anderson-aquavit-klar-bio-1-liter-40-vol und beide Personenentscheidungen nennen die formgenaue Versandroute.","RESOLVED_VERIFIED"
"AV2N-A-0032","CALVADOS","Georgia|Tobias","Jashopping – Spirituosen und Wein","https://www.jashopping.de/","Die Domainroot war kein reproduzierbarer Calvados-Nachweis. AV2N-A-0032 verweist nun auf Papidoux Calvados Fine bei Conalco mit Herkunft Normandie, Apfelbrandform, positivem Bestand und kurzer Lieferzeit.","Abgeschlossen: https://www.conalco.de/papidoux-calvados-fine-0-7l-40-vol ist kanonisch erfasst; Georgia- und Tobias-Text unterscheiden Versandbeleg und nicht zugesicherten Lokalbestand.","RESOLVED_VERIFIED"
"AV2N-A-0037","CAVA","Georgia|Tobias","Jashopping – Spirituosen und Wein","https://www.jashopping.de/","Die frühere Startseite enthielt keinen prüfbaren Cava-Treffer. AV2N-A-0037 dokumentiert jetzt den konkret verfügbaren Cava Brut Reserva Stars bei vomFASS einschließlich Bezeichnung, Status und Deutschlandzustellung.","Abgeschlossen: kanonische Route auf https://www.vomfass.de/products/cava-brut-reserva-stars gesetzt und beide Personentexte auf Cava statt generischen Schaumwein synchronisiert.","RESOLVED_VERIFIED"
"AV2N-A-0051","COGNAC","Georgia|Tobias","Jashopping – Spirituosen und Wein","https://www.jashopping.de/","Die Jashopping-Rootseite trug die geschützte Cognac-Form nicht. AV2N-A-0051 nutzt nun Landy Cognac XO No. 1 bei Conalco mit geografischer Produktbezeichnung, Lagerbestand und Lieferzeit.","Abgeschlossen: https://www.conalco.de/landy-cognac-xo-no.-1-0-7l-40-vol ersetzt den Root-Verweis in der Evidenz; beide Decisions führen denselben planbaren Exaktweg.","RESOLVED_VERIFIED"
"AV2N-A-0077","DUMPLING_DOUGH","Georgia|Tobias","Mekong Shop Dresden – Teigwaren","https://www.mekongshop-dresden.de/","Die Mekong-Startseite belegte nur keinen bestimmten Teig. AV2N-A-0077 verweist jetzt auf Bürger Nudelteig bei REWE: gekühlte ungeschnittene 130-cm-Teigbahn; das freie Zuschneiden wird transparent als Formableitung und nicht als Händlerbehauptung zu Wrappers gekennzeichnet.","Abgeschlossen: https://www.rewe.de/shop/p/buerger-nudelteig-500g/9074120 kanonisch hinterlegt; beide Profile verlangen Filialprüfung und grenzen vorgeschnittene Dumpling-Blätter ausdrücklich aus.","RESOLVED_VERIFIED"
"AV2N-A-0079","EDIBLE_SNAILS","Georgia|Tobias","REWE – Online-Shop","https://shop.rewe.de/","Die alte REWE-Rootseite war kein Schneckenprodukt. AV2N-A-0079 führt nun lagernde Helix-lucorum-Weinbergschnecken in der Dose bei Gourmet Versand als eine zulässige Landschneckenwahl der offenen Familie.","Abgeschlossen: https://www.gourmet-versand.com/de/article17412/weinberg-schnecken-gross-800-g-96-stueck.html erfasst; Muscheln und eine unbelegte Vollabdeckung aller Schneckenformen werden nicht behauptet.","RESOLVED_VERIFIED"
"AV2N-A-0085","ESCARGOT","Georgia|Tobias","REWE – Online-Shop","https://shop.rewe.de/","Die REWE-Domainroot wies keine Escargots nach. AV2N-A-0085 dokumentiert aktuell verfügbare gekochte Helix-pomatia-Weinbergschnecken in Dosenform bei Marie Monde samt kleinem Bestand.","Abgeschlossen: https://marie-monde.de/Schnecken-Bourgogne-Escargots-125g ist die kanonische Exaktroute; Georgia und Tobias berücksichtigen Form und Bestandsfragilität.","RESOLVED_VERIFIED"
"AV2N-A-0094","FLEUR_DE_SEL","Georgia|Tobias","REWE – Online-Shop","https://shop.rewe.de/","Die generische REWE-Seite belegte keine Salzblüten. AV2N-A-0094 verweist jetzt direkt auf Ankerkraut Fleur de Sel mit handgeschöpften Oberflächenkristallen, positivem Status und deutscher Lieferroute.","Abgeschlossen: https://www.ankerkraut.de/products/fleur-de-sel ersetzt die Domainroot in der Evidenz; beide Notizen beschreiben die flockige Kristallform statt gewöhnlichem Salz.","RESOLVED_VERIFIED"
"AV2N-A-0098","FRUIT_DUMPLING","Georgia|Tobias","Czech Food – böhmische Lebensmittel","https://czechfood.de/","Die Czech-Food-Startseite ergab keinen reproduzierbaren Fruchtknödel. AV2N-A-0098 weist nun rohe tiefgekühlte Toni-Kaiser-Marillenknödel mit ganzer Aprikose im Quarkteig, Bestand und 3-kg-Packung bei Gourmet Versand aus.","Abgeschlossen: https://www.gourmet-versand.com/de/article35430/marillenknoedel-toni-kaiser-3-kg-ca44-stueck.html kanonisch gesetzt; beide Profile nennen Tiefkühllogistik und Packungsgröße.","RESOLVED_VERIFIED"
"AV2N-A-0119","JENEVER","Georgia|Tobias","Jashopping – Spirituosen und Wein","https://www.jashopping.de/","Die bisherige Spirituosen-Rootseite war kein Genever-Beleg. AV2N-A-0119 nutzt nun Bokma Jonge Graanjenever bei Conalco und dokumentiert Getreide, Wacholder, Bestand und Deutschlandversand.","Abgeschlossen: https://www.conalco.de/bokma-jonge-graanjenever-genever-1-liter-35-vol ist als Exaktroute erfasst und die Personenentscheidungen wurden auf diese Form abgestimmt.","RESOLVED_VERIFIED"
