concept_code	display_name	review_applicability	cooking_novelty	availability_georgia	availability_tobias	availability_note_georgia	availability_note_tobias	novelty_approval_origin	availability_georgia_approval_origin	availability_tobias_approval_origin	availability_note_georgia_approval_origin	availability_note_tobias_approval_origin	overall_approval_origin	final_acceptance_status	base_draw_weight_review	source_provenance	catalog_commit	review_version
ADZUKI_BEANS	Adzukibohnen	APPLICABLE	2	PLANNED	PLANNED	Adzukibohnen sind in gut sortierten Vollsortimentern und im breiten deutschen Trockenwarenhandel planbar, lokal aber kein verlässlicher Standardartikel.	Adzukibohnen sind in gut sortierten Vollsortimentern und im breiten deutschen Trockenwarenhandel planbar, lokal aber kein verlässlicher Standardartikel.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
AGAVE_SYRUP	Agavendicksaft	APPLICABLE	2	EASY	EASY	Agavendicksaft: gewöhnlicher lokaler Bezugsweg über den Bereich »Backzutaten-, Süßwaren- oder Kakaoregal«.	Agavendicksaft: Rostocker Bezugsweg über das Back-, Süßwaren- oder Brotregal eines gewöhnlichen großen Rostocker Supermarkts.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
AIOLI	Aioli	APPLICABLE	2	EASY	EASY	Aioli: gewöhnlicher lokaler Bezugsweg über den Bereich »Saucen-, Würzpasten- und Feinkostregal«.	Aioli: Rostocker Bezugsweg über das Saucen-, Essig- oder Feinkostregal eines gewöhnlichen großen Rostocker Supermarkts.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
AJVAR	Ajvar	APPLICABLE	2	EASY	EASY	Ajvar: gewöhnlicher lokaler Bezugsweg über den Bereich »Saucen-, Würzpasten- und Feinkostregal«.	Ajvar: Rostocker Bezugsweg über das Saucen-, Essig- oder Feinkostregal eines gewöhnlichen großen Rostocker Supermarkts.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
AJWAIN	Ajwain	APPLICABLE	3	SPECIALTY	SPECIALTY	Ajwain ist als ganze Samen im indisch geprägten Gewürzhandel breit etabliert, im allgemeinen Handel aber kein Standardartikel.	Ajwain ist als ganze Samen im indisch geprägten Gewürzhandel breit etabliert, im allgemeinen Handel aber kein Standardartikel.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
ALFALFA_SPROUTS	Alfalfasprossen	APPLICABLE	2	PLANNED	PLANNED	Frische Alfalfasprossen sind über gut sortierte Gemüseabteilungen planbar; der konkrete Filialbestand muss vor dem Einkauf geprüft werden.	Frische Alfalfasprossen sind über gut sortierte Gemüseabteilungen planbar; der konkrete Filialbestand muss vor dem Einkauf geprüft werden.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
ALIGUE	Aligue	APPLICABLE	4	DIFFICULT	DIFFICULT	Aligue bleibt auf wenige philippinische Importwege ohne aktuell belegten robusten deutschen Händlerweg beschränkt.	Aligue bleibt auf wenige philippinische Importwege ohne aktuell belegten robusten deutschen Händlerweg beschränkt.	HUMAN_EXPLICIT	HUMAN_EXPLICIT	HUMAN_EXPLICIT	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	HUMAN_EXPLICIT	APPROVED_FINAL		AI_REVIEW_BASE|NOVELTY_REFERENCE_ANCHOR_HUMAN|AVAILABILITY_V2_ANCHOR_HUMAN	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
ALLIUM_VEGETABLES	Lauch- und Zwiebelgemüse	APPLICABLE	1	EASY	EASY	Lauch- und Zwiebelgemüse: gewöhnlicher lokaler Bezugsweg über den Bereich »Obst- und Gemüseabteilung«.	Lauch- und Zwiebelgemüse: Rostocker Bezugsweg über die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
ALLSPICE	Piment	APPLICABLE	2	EASY	EASY	Piment: gewöhnlicher lokaler Bezugsweg über den Bereich »Gewürz- und Trockenwürzregal«.	Piment: Rostocker Bezugsweg über das Gewürz- oder Backregal eines gewöhnlichen großen Rostocker Supermarkts.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
ALMOND	Mandeln	APPLICABLE	1	EASY	EASY	Mandeln: gewöhnlicher lokaler Bezugsweg über den Bereich »Nuss-, Saaten- oder Nussmusregal«.	Mandeln: geprüft wird das Nuss-, Saaten- und Backregal gewöhnlicher großer Rostocker Supermärkte; der Treffer darf ganze, gehackte, gemahlene oder blanchierte Mandeln abdecken.	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	AI_BULK_ACCEPTED	APPROVED_FINAL		AI_REVIEW_BASE	f8855121af336a7c13cd799cafede5f9b9420f28	AVAILABILITY_NOVELTY_V1_20260907
