"concept_code","display_name","review_applicability","product_form_basis","market_class","market_basis","proposed_availability","availability_note","evidence_requirement","evidence_search_terms","review_flags"
"ADZUKI_BEANS","Adzukibohnen","APPLICABLE","Kleine rote Bohnen mit mild-nussigem, leicht süßlichem Geschmack; getrocknet oder vorgegart verwendbar.","GENERAL_BROAD","Katalogpfad Bohnen → Hülsenfrüchte. Warengruppe Hülsenfrucht, formrelevanter Prüfhinweis aus der vollständigen Definition: »getrocknet oder vorgegart verwendbar«. Allgemein planbarer, aber nicht lokal garantierter Weg über einen vorbereiteten Einkauf im gut sortierten Bereich »Hülsenfrucht-, Konserven- oder Trockenwarenregal«.","PLANNED","Adzukibohnen sind in gut sortierten Vollsortimentern und im breiten deutschen Trockenwarenhandel planbar, lokal aber kein verlässlicher Standardartikel.","OPTIONAL","Adzukibohnen | Form: getrocknet oder vorgegart verwendbar | Bornheim gezielter Einkauf Deutschland Hülsenfrucht-, Konserven- oder Trockenwarenregal",""
"AGAVE_SYRUP","Agavendicksaft","APPLICABLE","Konzentrierter Sirup aus Agaven; süßt neutraler als Honig und bleibt auch kalt gut löslich.","GENERAL_LOCAL","Katalogpfad Sirup → Süßungsmittel. Warengruppe Süßungs- oder Kakaoware, formrelevanter Prüfhinweis aus der vollständigen Definition: »süßt neutraler als Honig und bleibt auch kalt gut löslich«. Regelweg in Bornheim über den lokalen Supermarktbereich »Backzutaten-, Süßwaren- oder Kakaoregal« in Bornheim.","EASY","Agavendicksaft: gewöhnlicher lokaler Bezugsweg über den Bereich »Backzutaten-, Süßwaren- oder Kakaoregal«.","OPTIONAL","Agavendicksaft | Form: süßt neutraler als Honig und bleibt auch kalt gut löslich | Bornheim Backzutaten-, Süßwaren- oder Kakaoregal gewöhnlicher Handel",""
"AIOLI","Aioli","APPLICABLE","Knoblauch-Öl-Emulsion nach Aioli-/Allioli-Art; traditionell ohne Ei möglich, moderne Varianten können Ei enthalten. Knoblauch und Öl sind definierend; nicht beliebige Mayonnaise mit Knoblaucharoma.","GENERAL_LOCAL","Katalogpfad fertige Sauce oder Würzpaste → Sauce, Würzmittel oder Paste. Warengruppe Sauce oder Würzpaste, formrelevanter Prüfhinweis aus der vollständigen Definition: »nicht beliebige Mayonnaise mit Knoblaucharoma«. Regelweg in Bornheim über das örtliche Sortiment »Saucen-, Würzpasten- und Feinkostregal« beim Wocheneinkauf in Bornheim.","EASY","Aioli: gewöhnlicher lokaler Bezugsweg über den Bereich »Saucen-, Würzpasten- und Feinkostregal«.","OPTIONAL","Aioli | Form: nicht beliebige Mayonnaise mit Knoblaucharoma | Bornheim Saucen-, Würzpasten- und Feinkostregal gewöhnlicher Handel",""
"AJVAR","Ajvar","APPLICABLE","Balkanische Paprikazubereitung aus gerösteter Paprika, häufig mit Aubergine; als fertige Würzpaste oder Beilage gemeint.","GENERAL_LOCAL","Katalogpfad Paprika → konservierte pflanzliche Zutat → fertige Sauce oder Würzpaste → Fruchtgemüse. Warengruppe Sauce oder Würzpaste, formrelevanter Prüfhinweis aus der vollständigen Definition: »als fertige Würzpaste oder Beilage gemeint«. Regelweg in Bornheim über den regulären Bornheimer Regalweg »Saucen-, Würzpasten- und Feinkostregal«.","EASY","Ajvar: gewöhnlicher lokaler Bezugsweg über den Bereich »Saucen-, Würzpasten- und Feinkostregal«.","OPTIONAL","Ajvar | Form: als fertige Würzpaste oder Beilage gemeint | Bornheim Saucen-, Würzpasten- und Feinkostregal gewöhnlicher Handel","RATING_RECONCILED_V2"
"AJWAIN","Ajwain","APPLICABLE","Kräftig thymianartig schmeckende Samenfrucht, die meist sparsam und häufig angeröstet als Gewürz verwendet wird.","SPECIALTY_BROAD","Katalogpfad Gewürz oder trockenes Würzmittel. Warengruppe Gewürz, formrelevanter Prüfhinweis aus der vollständigen Definition: »sparsam und häufig angeröstet als Gewürz verwendet wird«. Breiter einschlägiger Spezialmarkt über die voneinander unabhängigen Händler Sairas – TRS Ajwain Seeds sowie AsianBrand – Ajwain/Ajowan.","SPECIALTY","Ajwain ist als ganze Samen im indisch geprägten Gewürzhandel breit etabliert, im allgemeinen Handel aber kein Standardartikel.","REQUIRED","Ajwain | Form: sparsam und häufig angeröstet als Gewürz verwendet wird | Deutschland unabhängige Spezialhändler Gewürz | geprüfte Quellen: Sairas – TRS Ajwain Seeds ; AsianBrand – Ajwain/Ajowan","EVIDENCE_REQUIRED"
"ALFALFA_SPROUTS","Alfalfasprossen","APPLICABLE","Zarte Luzernensprossen mit mild-grünem Geschmack; vor allem roh oder nur sehr kurz erhitzt verwendbar.","GENERAL_BROAD","Katalogpfad Sprossen → Gemüse. Warengruppe Gemüse oder Pilz, formrelevanter Prüfhinweis aus der vollständigen Definition: »vor allem roh oder nur sehr kurz erhitzt verwendbar«. Für Georgia führt der formgenaue Weg vom Bornheimer Standort über „Obst- und Gemüseabteilung mit vorab zu prüfendem Filialbestand“.","PLANNED","Frische Alfalfasprossen sind über gut sortierte Gemüseabteilungen planbar; der konkrete Filialbestand muss vor dem Einkauf geprüft werden.","OPTIONAL","Alfalfasprossen | Form: vor allem roh oder nur sehr kurz erhitzt verwendbar | Bornheim gezielter Einkauf Deutschland Obst- und Gemüseabteilung",""
"ALIGUE","Aligue","APPLICABLE","Philippinische Würzpaste aus ausgelassenem Krabbenfett mit intensiv meeresfruchtig-röstigem Aroma; meist sparsam zum Aromatisieren verwendet.","NICHE_IMPORT","Katalogpfad fertige Sauce oder Würzpaste → Sauce, Würzmittel oder Paste. Warengruppe Sauce oder Würzpaste, formrelevanter Prüfhinweis aus der vollständigen Definition: »meist sparsam zum Aromatisieren verwendet«. Der v2-Anker hält den Engpass fest: Sehr enger philippinischer Nischenimport kein robuster deutscher Spezialmarkt.","DIFFICULT","Aligue bleibt auf wenige philippinische Importwege beschränkt; Sortiment und Bestand sind nicht robust wiederholbar.","REQUIRED","Aligue | Form: meist sparsam zum Aromatisieren verwendet | Deutschland EU Exakttreffer Bestand Logistik Sauce oder Würzpaste | freigegebener v2-Anker","REFERENCE_ANCHOR|EVIDENCE_REQUIRED|FORM_OR_ROUTE_FRAGILE"
"ALLIUM_VEGETABLES","Lauch- und Zwiebelgemüse","APPLICABLE","Offene Vorgabe für Zwiebel-, Lauch- und verwandte Gemüsearten mit schwefelig-aromatischer Würzwirkung.","GENERAL_LOCAL","Katalogpfad Gemüse. Warengruppe Gemüse oder Pilz, formrelevanter Prüfhinweis aus der vollständigen Definition: »Zwiebel-, Lauch- und verwandte Gemüsearten mit schwefelig-aromatischer Würzwirkung«. Regelweg in Bornheim über ortsübliche Vollsortimenter rund um Bornheim, konkret im Bereich »Obst- und Gemüseabteilung«.","EASY","Lauch- und Zwiebelgemüse: gewöhnlicher lokaler Bezugsweg über den Bereich »Obst- und Gemüseabteilung«.","OPTIONAL","Lauch- und Zwiebelgemüse | Form: Zwiebel-, Lauch- und verwandte Gemüsearten mit schwefelig-aromatischer Würzwirkung | Bornheim Obst- und Gemüseabteilung gewöhnlicher Handel",""
"ALLSPICE","Piment","APPLICABLE","Getrocknete Pimentbeeren mit Aromen, die an Nelke, Zimt und Muskat erinnern; nicht mit einer Gewürzmischung verwechseln.","GENERAL_LOCAL","Katalogpfad Gewürz oder trockenes Würzmittel. Warengruppe Gewürz, formrelevanter Prüfhinweis aus der vollständigen Definition: »nicht mit einer Gewürzmischung verwechseln«. Regelweg in Bornheim über ortsübliche Vollsortimenter rund um Bornheim, konkret im Bereich »Gewürz- und Trockenwürzregal«.","EASY","Piment: gewöhnlicher lokaler Bezugsweg über den Bereich »Gewürz- und Trockenwürzregal«.","OPTIONAL","Piment | Form: nicht mit einer Gewürzmischung verwechseln | Bornheim Gewürz- und Trockenwürzregal gewöhnlicher Handel",""
"ALMOND","Mandeln","APPLICABLE","Mandeln mit mild-nussigem Geschmack; ganz, gehackt, gemahlen oder blanchiert einsetzbar.","GENERAL_LOCAL","Katalogpfad Nüsse. Warengruppe Nuss, Saat oder Mus, formrelevanter Prüfhinweis aus der vollständigen Definition: »ganz, gehackt, gemahlen oder blanchiert einsetzbar«. Regelweg in Bornheim über das örtliche Sortiment »Nuss-, Saaten- oder Nussmusregal« beim Wocheneinkauf in Bornheim.","EASY","Mandeln: gewöhnlicher lokaler Bezugsweg über den Bereich »Nuss-, Saaten- oder Nussmusregal«.","OPTIONAL","Mandeln | Form: ganz, gehackt, gemahlen oder blanchiert einsetzbar | Bornheim Nuss-, Saaten- oder Nussmusregal gewöhnlicher Handel",""
