"concept_code"	"display_name"	"review_applicability"	"product_form_basis"	"market_class"	"market_basis"	"proposed_availability"	"availability_note"	"evidence_requirement"	"evidence_search_terms"	"availability_evidence"	"review_flags"	"approval_status"
"ADZUKI_BEANS"	"Adzukibohnen"	"APPLICABLE"	"Kleine rote Bohnen mit mild-nussigem, leicht süßlichem Geschmack; getrocknet oder vorgegart verwendbar."	"GENERAL_BROAD"	"Tobias prüft „Adzukibohnen“ in Rostock über gut sortierte Vollsortimenter und etablierte deutsche Bio- oder Trockenwarenhändler."	"PLANNED"	"Über gut sortierte Vollsortimenter und etablierte deutsche Bio- oder Trockenwarenhändler prüft Tobias in Rostock „Adzukibohnen“, wobei folgende Abgrenzung gilt: „Kleine rote Bohnen mit mild-nussigem, leicht süßlichem Geschmack; getrocknet oder vorgegart verwendbar.“"	"OPTIONAL"	"Adzukibohnen Kleine rote Bohnen mit mild-nussigem, leicht süßlichem Geschmack; Tobias Rostock Hülsenfrucht getrocknet vorgegart Sorte; Bohnen; gut sortierte Vollsortimenter und etablierte deutsche Bio- oder Trockenwarenhändler; gezielter Einkauf Deutschland Wochenvorlauf; die getrocknete Produktform"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"AGAVE_SYRUP"	"Agavendicksaft"	"APPLICABLE"	"Konzentrierter Sirup aus Agaven; süßt neutraler als Honig und bleibt auch kalt gut löslich."	"GENERAL_LOCAL"	"Tobias prüft „Agavendicksaft“ in Rostock über das Back-, Süßwaren- oder Brotregal eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Über das Back-, Süßwaren- oder Brotregal eines gewöhnlichen großen Rostocker Supermarkts prüft Tobias in Rostock „Agavendicksaft“, wobei folgende Abgrenzung gilt: „Konzentrierter Sirup aus Agaven; süßt neutraler als Honig und bleibt auch kalt gut löslich.“"	"OPTIONAL"	"Agavendicksaft Konzentrierter Sirup aus Agaven; süßt neutraler als Honig und bleibt auch kalt…; Tobias Rostock Backware Süßungsmittel exakte Form; Sirup; Das Back-, Süßwaren- oder Brotregal eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die sirupartige Produktform"	""	"TOBIAS_ROSTOCK_PROFILE|RATING_RECONCILED_V2"	"PROPOSED_FOR_HUMAN_REVIEW"
"AIOLI"	"Aioli"	"APPLICABLE"	"Knoblauch-Öl-Emulsion nach Aioli-/Allioli-Art; traditionell ohne Ei möglich, moderne Varianten können Ei enthalten. Knoblauch und Öl sind definierend; nicht beliebige Mayonnaise mit Knoblaucharoma."	"GENERAL_LOCAL"	"Tobias prüft „Aioli“ in Rostock über das Saucen-, Essig- oder Feinkostregal eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Über das Saucen-, Essig- oder Feinkostregal eines gewöhnlichen großen Rostocker Supermarkts prüft Tobias in Rostock „Aioli“, wobei folgende Abgrenzung gilt: „Knoblauch-Öl-Emulsion nach Aioli-/Allioli-Art; traditionell ohne Ei möglich, moderne Varianten können Ei enthalten. Knoblauch und Öl sind definierend; nicht beliebige Mayonnaise mit Knoblaucharoma.“"	"OPTIONAL"	"Aioli Knoblauch-Öl-Emulsion nach Aioli-/Allioli-Art; Tobias Rostock Würzsauce Paste Essig exakte Sorte; fertige Sauce oder Würzpaste; Das Saucen-, Essig- oder Feinkostregal eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die exakt festgelegte Darreichung"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"AJVAR"	"Ajvar"	"APPLICABLE"	"Balkanische Paprikazubereitung aus gerösteter Paprika, häufig mit Aubergine; als fertige Würzpaste oder Beilage gemeint."	"GENERAL_LOCAL"	"Für „Ajvar“ führt der Rostocker Marktweg über das Saucen-, Essig- oder Feinkostregal eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Den Weg über das Saucen-, Essig- oder Feinkostregal eines gewöhnlichen großen Rostocker Supermarkts nutzt Tobias in Rostock für „Ajvar“, wobei folgende Abgrenzung gilt: „Balkanische Paprikazubereitung aus gerösteter Paprika, häufig mit Aubergine; als fertige Würzpaste oder Beilage gemeint.“"	"OPTIONAL"	"Ajvar Balkanische Paprikazubereitung aus gerösteter Paprika, häufig mit Aubergine; Tobias Rostock Würzsauce Paste Essig exakte Sorte; Paprika / konservierte pflanzliche Zutat; Das Saucen-, Essig- oder Feinkostregal eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die pastöse Produktform"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"AJWAIN"	"Ajwain"	"APPLICABLE"	"Kräftig thymianartig schmeckende Samenfrucht, die meist sparsam und häufig angeröstet als Gewürz verwendet wird."	"SPECIALTY_BROAD"	"Tobias prüft „Ajwain“ in Rostock über AsianBrand – Ajwain/Ajowan und Sairas – TRS Ajwain Seeds, wobei die Evidenz ein dokumentiertes laufendes Angebot und Standardversand ausweist."	"SPECIALTY"	"Über AsianBrand – Ajwain/Ajowan und Sairas – TRS Ajwain Seeds (Evidenzstand: ein dokumentiertes laufendes Angebot und Standardversand) prüft Tobias in Rostock „Ajwain“, wobei folgende Abgrenzung gilt: „Kräftig thymianartig schmeckende Samenfrucht, die meist sparsam und häufig angeröstet als Gewürz verwendet wird.“"	"REQUIRED"	"Ajwain Kräftig thymianartig schmeckende Samenfrucht, die meist sparsam und häufig…; Tobias Rostock Gewürz ganze gemahlene getrocknete Form; Gewürz oder trockenes Würzmittel; Sairas – TRS Ajwain Seeds | AsianBrand – Ajwain/Ajowan; mehrere unabhängige Fachhändler Marktbreite; die exakt festgelegte Darreichung"	"AV2N-A-0001|AV2N-A-0002"	"TOBIAS_ROSTOCK_PROFILE|SPECIALTY_MARKET_BREADTH|RESEARCH_REQUIRED"	"PROPOSED_FOR_HUMAN_REVIEW"
"ALFALFA_SPROUTS"	"Alfalfasprossen"	"APPLICABLE"	"Zarte Luzernensprossen mit mild-grünem Geschmack; vor allem roh oder nur sehr kurz erhitzt verwendbar."	"GENERAL_BROAD"	"Tobias prüft „Alfalfasprossen“ in Rostock über gut sortierte Vollsortimenter und etablierte deutsche Gemüse- oder Frischehändler."	"PLANNED"	"Über gut sortierte Vollsortimenter und etablierte deutsche Gemüse- oder Frischehändler prüft Tobias in Rostock „Alfalfasprossen“, wobei folgende Abgrenzung gilt: „Zarte Luzernensprossen mit mild-grünem Geschmack; vor allem roh oder nur sehr kurz erhitzt verwendbar.“"	"OPTIONAL"	"Alfalfasprossen Zarte Luzernensprossen mit mild-grünem Geschmack; Tobias Rostock Gemüse frisch TK genaue Sorte; Sprossen; gut sortierte Vollsortimenter und etablierte deutsche Gemüse- oder Frischehändler; gezielter Einkauf Deutschland Wochenvorlauf; die exakt festgelegte Darreichung"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"ALIGUE"	"Aligue"	"APPLICABLE"	"Philippinische Würzpaste aus ausgelassenem Krabbenfett mit intensiv meeresfruchtig-röstigem Aroma; meist sparsam zum Aromatisieren verwendet."	"NICHE_IMPORT"	"Tobias prüft „Aligue“ in Rostock über den philippinischen Lebensmittel-Spezialhandel, wobei die Evidenz die menschliche v2-Freigabe für diesen Weg und Frischeversand, Importbeschränkungen sowie einen gezielten Händlerbesuch ausweist."	"DIFFICULT"	"Über den philippinischen Lebensmittel-Spezialhandel (Evidenzstand: die menschliche v2-Freigabe für diesen Weg und Frischeversand, Importbeschränkungen sowie einen gezielten Händlerbesuch) prüft Tobias in Rostock „Aligue“, wobei folgende Abgrenzung gilt: „Philippinische Würzpaste aus ausgelassenem Krabbenfett mit intensiv meeresfruchtig-röstigem Aroma; meist sparsam zum Aromatisieren verwendet.“"	"REQUIRED"	"Aligue Philippinische Würzpaste aus ausgelassenem Krabbenfett mit intensiv…; Tobias Rostock Würzsauce Paste Essig exakte Sorte; fertige Sauce oder Würzpaste; philippinischen Lebensmittel-Spezialhandel Nischenweg; Bestand Produktform Versandlogistik; die pastöse Produktform"	"AV2E-075"	"REFERENCE_ANCHOR|TOBIAS_ROSTOCK_PROFILE|FORM_OR_LOGISTICS_RISK|RESEARCH_REQUIRED|REFERENCE_ANCHOR_V2"	"APPROVED_REFERENCE_ANCHOR_V2"
"ALLIUM_VEGETABLES"	"Lauch- und Zwiebelgemüse"	"APPLICABLE"	"Offene Vorgabe für Zwiebel-, Lauch- und verwandte Gemüsearten mit schwefelig-aromatischer Würzwirkung."	"GENERAL_LOCAL"	"Tobias prüft „Lauch- und Zwiebelgemüse“ in Rostock über die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Über die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts prüft Tobias in Rostock „Lauch- und Zwiebelgemüse“, wobei folgende Abgrenzung gilt: „Offene Vorgabe für Zwiebel-, Lauch- und verwandte Gemüsearten mit schwefelig-aromatischer Würzwirkung.“"	"OPTIONAL"	"Lauch- und Zwiebelgemüse Offene Vorgabe für Zwiebel-, Lauch- und verwandte Gemüsearten mit…; Tobias Rostock Gemüse frisch TK genaue Sorte; Gemüse; Die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die exakt festgelegte Darreichung"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"ALLSPICE"	"Piment"	"APPLICABLE"	"Getrocknete Pimentbeeren mit Aromen, die an Nelke, Zimt und Muskat erinnern; nicht mit einer Gewürzmischung verwechseln."	"GENERAL_LOCAL"	"Tobias prüft „Piment“ in Rostock über das Gewürz- oder Backregal eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Über das Gewürz- oder Backregal eines gewöhnlichen großen Rostocker Supermarkts prüft Tobias in Rostock „Piment“, wobei folgende Abgrenzung gilt: „Getrocknete Pimentbeeren mit Aromen, die an Nelke, Zimt und Muskat erinnern; nicht mit einer Gewürzmischung verwechseln.“"	"OPTIONAL"	"Piment Getrocknete Pimentbeeren mit Aromen, die an Nelke, Zimt und Muskat erinnern; Tobias Rostock Gewürz ganze gemahlene getrocknete Form; Gewürz oder trockenes Würzmittel; Das Gewürz- oder Backregal eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die getrocknete Produktform"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"ALMOND"	"Mandeln"	"APPLICABLE"	"Mandeln mit mild-nussigem Geschmack; ganz, gehackt, gemahlen oder blanchiert einsetzbar."	"GENERAL_LOCAL"	"Mandeln: geprüft wird das Nuss-, Saaten- und Backregal gewöhnlicher großer Rostocker Supermärkte; der Treffer darf ganze, gehackte, gemahlene oder blanchierte Mandeln abdecken."	"EASY"	"Für Tobias in Rostock sind Mandeln im Nuss-, Saaten- und Backregal gewöhnlicher großer Supermärkte laufende Ware — Maßgeblich bleibt die offene Handelsform: ganze, gehackte, gemahlene oder blanchierte Mandeln sind gleichermaßen gültige Treffer."	"OPTIONAL"	"Mandeln Mandeln mit mild-nussigem Geschmack; ganz, gehackt, gemahlen oder blanchiert…; Tobias Rostock Nuss Samen Mus genaue Rohware; Nüsse; Das Nuss-, Saaten-, Back- oder Brotaufstrichregal eines gewöhnlichen großen Rostocker Supermarkts; reguläres Sortiment Filialverfügbarkeit; die gemahlene oder pulverisierte Form"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
