"concept_code"	"display_name"	"review_applicability"	"previous_proposal_georgia"	"v2_proposal_georgia"	"transition_georgia"	"changed_georgia"	"previous_proposal_tobias"	"v2_proposal_tobias"	"transition_tobias"	"changed_tobias"	"person_difference"	"comparison_flags"
"ADZUKI_BEANS"	"Adzukibohnen"	"APPLICABLE"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"NO"	""
"AGAVE_SYRUP"	"Agavendicksaft"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"AIOLI"	"Aioli"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"AJVAR"	"Ajvar"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"AJWAIN"	"Ajwain"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"NO"	""
"ALFALFA_SPROUTS"	"Alfalfasprossen"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"ALIGUE"	"Aligue"	"APPLICABLE"	"DIFFICULT"	"DIFFICULT"	"DIFFICULT->DIFFICULT"	"NO"	"DIFFICULT"	"DIFFICULT"	"DIFFICULT->DIFFICULT"	"NO"	"NO"	""
"ALLIUM_VEGETABLES"	"Lauch- und Zwiebelgemüse"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"ALLSPICE"	"Piment"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"ALMOND"	"Mandeln"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"ALMOND_BUTTER"	"Mandelmus"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"ALMOND_DRINK"	"Mandeldrink"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"AMARANTH"	"Amaranth"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"ANCHO_CHILI"	"Ancho-Chili"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"NO"	""
"ANCHOVIES"	"Sardellen"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"ANNATTO"	"Annatto"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"NO"	""
"APPLE"	"Apfel"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"APPLE_CIDER_VINEGAR"	"Apfelessig"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"APRICOT"	"Aprikose"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"AQUAVIT"	"Aquavit"	"APPLICABLE"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"NO"	""
"ARTICHOKE"	"Artischocke"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"ARUGULA"	"Rucola"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"ASPARAGUS"	"Spargel"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"AVOCADO"	"Avocado"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BACON"	"Bacon"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BAGOONG"	"Bagoong"	"APPLICABLE"	"PLANNED"	"DIFFICULT"	"PLANNED->DIFFICULT"	"YES"	"SPECIALTY"	"DIFFICULT"	"SPECIALTY->DIFFICULT"	"YES"	"NO"	""
"BAGOONG_ALAMANG"	"Bagoong alamang"	"APPLICABLE"	"PLANNED"	"DIFFICULT"	"PLANNED->DIFFICULT"	"YES"	"SPECIALTY"	"DIFFICULT"	"SPECIALTY->DIFFICULT"	"YES"	"NO"	""
"BAGOONG_ISDA"	"Bagoong isda"	"APPLICABLE"	"SPECIALTY"	"DIFFICULT"	"SPECIALTY->DIFFICULT"	"YES"	"SPECIALTY"	"DIFFICULT"	"SPECIALTY->DIFFICULT"	"YES"	"NO"	""
"BAGUETTE"	"Baguette"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BAKED_GOODS"	"Backware"	"NOT_APPLICABLE_STRUCTURE"	""	""	"NOT_APPLICABLE"	"NOT_APPLICABLE"	""	""	"NOT_APPLICABLE"	"NOT_APPLICABLE"	"NOT_APPLICABLE"	""
"BALSAMIC_VINEGAR"	"Balsamico"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BAMBOO_SHOOTS"	"Bambussprossen"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"BANANA"	"Banane"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BANANA_BLOSSOM"	"Bananenblüte"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"NO"	""
"BANANA_KETCHUP"	"Bananenketchup"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"NO"	""
"BANANA_LEAVES"	"Bananenblätter"	"APPLICABLE"	"PLANNED"	"SPECIALTY"	"PLANNED->SPECIALTY"	"YES"	"SPECIALTY"	"SPECIALTY"	"SPECIALTY->SPECIALTY"	"NO"	"NO"	""
"BARBECUE_SAUCE"	"Barbecuesauce"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BARLEY"	"Gerste"	"APPLICABLE"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"PLANNED"	"PLANNED"	"PLANNED->PLANNED"	"NO"	"NO"	""
"BASIL"	"Basilikum"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BASMATI_RICE"	"Basmatireis"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BAY_LEAF"	"Lorbeerblatt"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BEAN_SPROUTS"	"Mungbohnensprossen"	"APPLICABLE"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"EASY"	"PLANNED"	"EASY->PLANNED"	"YES"	"NO"	""
"BEANS"	"Bohnen"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
"BEEF"	"Rindfleisch"	"APPLICABLE"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"EASY"	"EASY"	"EASY->EASY"	"NO"	"NO"	""
