concept_code,approved_cooking_novelty,approved_availability_georgia,approved_availability_tobias,approved_market_class_georgia,approved_market_class_tobias,availability_note_source,availability_note_override_georgia,availability_note_override_tobias,evidence_disposition,approval_status,source_review_head
BEEF_SHIN,2,PLANNED,PLANNED,GENERAL_BROAD,GENERAL_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_4,73e1906be53d3ba42444bae2545d411789f9cfe4
BEEF_TONGUE,3,SPECIALTY,SPECIALTY,SPECIALTY_BROAD,SPECIALTY_BROAD,OVERRIDE_EXACT,"Rinderzunge ist über spezialisierte Metzgerei- und Innereienwege erhältlich; ein breiter allgemeiner Fleischthekenweg für die exakte Form ist nicht robust belegt.","Rinderzunge ist über spezialisierte Metzgerei- und Innereienwege erhältlich; ein breiter allgemeiner Fleischthekenweg für die exakte Form ist nicht robust belegt.","Former PLANNED evidence remains historical proposal evidence; human decision reclassifies both profiles to SPECIALTY.",APPROVED_HUMAN_CHARGE_4,73e1906be53d3ba42444bae2545d411789f9cfe4
BONE_MARROW,3,PLANNED,PLANNED,GENERAL_BROAD,GENERAL_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_4,73e1906be53d3ba42444bae2545d411789f9cfe4
GAME_MEAT,2,SPECIALTY,SPECIALTY,SPECIALTY_BROAD,SPECIALTY_BROAD,OVERRIDE_EXACT,"Wildfleisch ist über Wild- und Fleischfachhandel sowie spezialisierte Versandwege erhältlich; ein breiter allgemeiner Supermarkt- oder Metzgerstandard trägt die offene Kategorie nicht robust.","Wildfleisch ist über Wild- und Fleischfachhandel sowie spezialisierte Versandwege erhältlich; ein breiter allgemeiner Supermarkt- oder Metzgerstandard trägt die offene Kategorie nicht robust.","Former PLANNED evidence remains historical proposal evidence; specialist routes no longer count as GENERAL_BROAD by themselves.",APPROVED_HUMAN_CHARGE_4,73e1906be53d3ba42444bae2545d411789f9cfe4
GOOSE,2,PLANNED,PLANNED,GENERAL_BROAD,GENERAL_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_4,73e1906be53d3ba42444bae2545d411789f9cfe4
GRAVLAX,2,PLANNED,PLANNED,GENERAL_BROAD,GENERAL_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_4,73e1906be53d3ba42444bae2545d411789f9cfe4
SCALLOPS,2,PLANNED,PLANNED,GENERAL_BROAD,GENERAL_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_4,73e1906be53d3ba42444bae2545d411789f9cfe4
SEA_BASS,1,PLANNED,PLANNED,GENERAL_BROAD,GENERAL_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_4,73e1906be53d3ba42444bae2545d411789f9cfe4
SEA_BREAM,1,PLANNED,PLANNED,GENERAL_BROAD,GENERAL_BROAD,SOURCE_REVIEW_EXACT,,,SOURCE_REVIEW_ACCEPTED,APPROVED_HUMAN_CHARGE_4,73e1906be53d3ba42444bae2545d411789f9cfe4
SOLE,1,SPECIALTY,SPECIALTY,SPECIALTY_BROAD,SPECIALTY_BROAD,OVERRIDE_EXACT,"Seezunge ist über Fischfachhandel und spezialisierte Seafood-Wege erhältlich; die exakte Art ist kein breit abgesicherter allgemeiner Fischthekenstandard.","Seezunge ist über Fischfachhandel und spezialisierte Seafood-Wege erhältlich; die exakte Art ist kein breit abgesicherter allgemeiner Fischthekenstandard.","Former PLANNED evidence remains historical proposal evidence; human decision reclassifies both profiles to SPECIALTY.",APPROVED_HUMAN_CHARGE_4,73e1906be53d3ba42444bae2545d411789f9cfe4
