"concept_code","person_relevance","prior_rating","prior_evidence_ids","recheck_evidence_ids","market_recheck_finding","product_form_or_logistics_limit","final_rating","audit_status"
"ARTICHOKE","Georgia|Tobias","PLANNED","AV2N-A-0008","AV2N-P-0001","A direct manufacturer shop supplies the allowed plain brined form with a stable current status.","The stable route is preserved hearts, not fresh buds.","PLANNED","RESOLVED_VERIFIED"
"BLACK_CURRANT","Georgia|Tobias","PLANNED","AV2N-A-0026","AV2N-P-0002","A national frozen-food route has the exact unsweetened monofruit in the cart.","Express cold-chain delivery is required.","PLANNED","RESOLVED_VERIFIED"
"CARP","Georgia|Tobias","PLANNED","AV2N-A-0033","AV2N-P-0003","Broad fish sellers currently show the exact carp forms unavailable; only a scheduled national niche route remains positive.","Minimum order, regional delivery windows, seasonality, and frozen handling make the route fragile.","DIFFICULT","RESOLVED_VERIFIED"
"CHANTERELLE","Georgia|Tobias","PLANNED","AV2N-A-0038","AV2N-P-0004","A broad organic online retailer has the allowed dried chanterelle form in stock.","Fresh mushrooms remain seasonal; only the stable dry form carries PLANNED.","PLANNED","RESOLVED_VERIFIED"
"CHERVIL","Georgia|Tobias","PLANNED","AV2N-A-0039","AV2N-P-0005","No stable general fresh-herb food route was found; one nursery can ship a living chervil plant.","The exact fresh leaves depend on a fragile plant shipment and one seller.","DIFFICULT","RESOLVED_VERIFIED"
"CHESTNUT","Georgia|Tobias","PLANNED","AV2N-A-0040","AV2N-P-0006","A German/Austrian general natural-food shop has cooked peeled vacuum-packed chestnuts ready to ship.","The evidence does not use sweetened chestnut cream or seasonal fresh nuts.","PLANNED","RESOLVED_VERIFIED"
"DANABLU","Georgia|Tobias","PLANNED","AV2N-A-0060","AV2N-P-0007","The chain listing remains variable and only one small Scandinavian chilled seller is currently positive.","Five units, restricted dispatch days, brand dependence, and cold shipping make the route narrow.","DIFFICULT","RESOLVED_VERIFIED"
"DANBO","Georgia|Tobias","PLANNED","AV2N-A-0061","AV2N-P-0008","An additional general German cheese-counter chain lists exact Danish Danbo as regular range.","The precise counter stock remains branch-dependent.","PLANNED","RESOLVED_VERIFIED"
"DUMPLING_DOUGH","Georgia|Tobias","PLANNED","AV2N-A-0077","AV2N-P-0009","The manufacturer retains the uncut rolled dough in its current national chilled range.","Cutting wrappers is an explicit form inference; the dough contains egg and is not a pre-cut Asian wrapper.","PLANNED","RESOLVED_VERIFIED"
"FERMENTED_CUCUMBER","Georgia|Tobias","PLANNED","AV2N-A-0088","AV2N-P-0010","A broad organic retailer has exact lactic-fermented cucumbers in stock.","Vinegar pickles are excluded.","PLANNED","RESOLVED_VERIFIED"
"FRESH_TURMERIC","Georgia|Tobias","PLANNED","AV2N-A-0097","AV2N-P-0011|AV2N-P-0012","Two independent national Asian fresh-food sellers carry exact fresh turmeric rhizomes with positive stock.","Fresh dispatch and cold packaging remain necessary; powder is excluded and the market is specialty rather than general.","SPECIALTY","RESOLVED_VERIFIED"
"GRAVLAX","Georgia|Tobias","PLANNED","AV2N-A-0106","AV2N-P-0013","A national fish retailer has exact un-smoked cured salmon available.","The large weight and timed chilled delivery require planning.","PLANNED","RESOLVED_VERIFIED"
"GRUYERE","Georgia|Tobias","PLANNED","AV2N-A-0110","AV2N-P-0014","An established cheese retailer has exact Swiss Gruyère AOP available for national delivery.","Thermal packaging and chilled shipping remain necessary.","PLANNED","RESOLVED_VERIFIED"
"IBERICO_HAM","Georgia|Tobias","PLANNED","AV2N-A-0118","AV2N-P-0015","A German delicatessen route has sliced cured Ibérico ham in stock.","The Cebo 50-percent class does not imply Bellota or every quality grade.","PLANNED","RESOLVED_VERIFIED"
"LIEGE_WAFFLE","Georgia|Tobias","PLANNED","AV2N-A-0136","AV2N-P-0016","A general online grocer has an EDEKA-group Lütticher sugar-waffle product immediately available.","The stable page and the prior REWE page jointly establish name, Belgian origin, and pearl-sugar form.","PLANNED","RESOLVED_VERIFIED"
"LOVAGE","Georgia|Tobias","PLANNED","AV2N-A-0141","AV2N-P-0017","A broad German spice brand has pure dried rubbed lovage in stock.","The route supports dried leaves, not liquid Maggi seasoning.","PLANNED","RESOLVED_VERIFIED"
"MANCHEGO","Georgia|Tobias","PLANNED","AV2N-A-0148","AV2N-P-0018","A German delicatessen shop has D.O. Manchego from Manchega sheep milk in stock.","The twelve-month Curado form does not represent every maturation stage.","PLANNED","RESOLVED_VERIFIED"
"MOREL","Georgia|Tobias","PLANNED","AV2N-A-0167","AV2N-P-0019","An established mushroom seller has real dried morels in stock in household pack sizes.","The expensive dry form must be rehydrated and cooked; fresh seasonal morels are not claimed.","PLANNED","RESOLVED_VERIFIED"
"PASSION_FRUIT","Georgia|Tobias","PLANNED","AV2N-N-0042","AV2N-P-0020","A current national fresh-food listing has whole Passiflora edulis fruit in stock.","Small stock and fixed fresh dispatch days remain, while the general REWE listing supports market breadth.","PLANNED","RESOLVED_VERIFIED"
"PECORINO","Georgia|Tobias","PLANNED","AV2N-N-0044","AV2N-P-0021","A German Italian-food retailer has Pecorino Romano DOP immediately available.","The Romano subtype does not stand for every regional Pecorino.","PLANNED","RESOLVED_VERIFIED"
"PIKEPERCH","Georgia|Tobias","PLANNED","AV2N-N-0047|AV2N-N-0048","AV2N-P-0022","The national fish retailer now explicitly shows exact frozen pikeperch portions as available.","Minimum order, timed delivery, and frozen handling remain.","PLANNED","RESOLVED_VERIFIED"
"PLAICE","Georgia|Tobias","PLANNED","AV2N-N-0060|AV2N-N-0061","AV2N-P-0023","The national fish retailer explicitly shows the exact whole plaice form as available.","Short shelf life and chilled timed delivery remain.","PLANNED","RESOLVED_VERIFIED"
