anchor_id,concept_code,display_name,specificity,coverage_tags,current_cooking_novelty,current_availability_georgia,current_availability_tobias,proposed_cooking_novelty,proposed_availability_georgia,proposed_availability_tobias,product_form_basis,cooking_novelty_rationale,availability_rationale,evidence,open_boundary,approval_status
A01,ONION,Zwiebel,SPECIFIC,easy|everyday|fresh|european,1,EASY,EASY,1,EASY,EASY,frische Küchenzwiebel,Breit einsetzbare Standardzutat ohne eigenen ungewöhnlichen Richtungsimpuls.,In beiden Profilen zuverlässig im gewöhnlichen Nahbereich erhältlich.,"docs/AVAILABILITY_AND_COOKING_NOVELTY.md §3.2; Katalognotiz",,PROPOSED
A02,POTATO,Kartoffel,SPECIFIC,easy|everyday|fresh|european,1,EASY,EASY,1,EASY,EASY,frische Kartoffel beliebiger üblicher Sorte,Breit verwendbare alltägliche Sättigungszutat.,In beiden Profilen zuverlässig in gewöhnlichen Geschäften erhältlich.,Katalognotiz,,PROPOSED
A03,CHICKEN,Hähnchen,SPECIFIC,easy|everyday|chilled|european,1,EASY,EASY,1,EASY,EASY,rohes gekühltes Hähnchen oder Teilstück,Vertrautes Protein mit sehr vielen Standardanwendungen.,Gewöhnliche Supermärkte führen geeignete Teilstücke zuverlässig.,Katalognotiz,,PROPOSED
A04,FISH,Fisch,OPEN,easy|everyday|open|fresh-or-frozen|european,1,EASY,EASY,1,EASY,EASY,üblicher Speisefisch in frischer oder tiefgekühlter Form,Die offene Vorgabe lässt viele gewöhnliche und unmittelbar verständliche Verwendungen zu.,Beide Einkaufsprofile besitzen zuverlässige Bezugswege für mindestens eine vollwertige Konkretisierung.,Katalognotiz,,PROPOSED
A05,YOGURT,Joghurt,SPECIFIC,easy|everyday|chilled|turkish-arabic,1,EASY,EASY,1,EASY,EASY,Naturjoghurt ohne prägende Zusätze,Alltägliche Kochzutat für Saucen Marinaden Teige und kalte Anwendungen.,In gewöhnlichen lokalen Supermärkten zuverlässig gekühlt erhältlich.,Katalognotiz,,PROPOSED
A06,SAUERKRAUT,Sauerkraut,SPECIFIC,easy|familiar|preserved|eastern-european,1,EASY,EASY,2,EASY,EASY,schlicht milchsauer fermentierter Weißkohl,Etabliert und vielseitig genug für eine vertraute Verwendung aber kein universeller Küchenstandard.,In beiden Regionen als haltbare oder gekühlte Standardware zuverlässig erhältlich.,Katalognotiz,,PROPOSED
A07,MISO,Miso,SPECIFIC,easy|familiar|shelf-stable-or-chilled|east-asian,2,EASY,EASY,2,EASY,EASY,unabgeschmeckte Misopaste beliebiger üblicher Sorte,Im gemeinsamen ostasiatisch geprägten Horizont eine etablierte Würzzutat mit mehreren naheliegenden Rollen.,Große Supermärkte und lokale Asialäden bieten geeignete Paste in beiden Profilen zuverlässig.,Katalognotiz,,PROPOSED
A08,GOCHUJANG,Gochujang,SPECIFIC,planned|familiar|shelf-stable|east-asian,2,EASY,EASY,2,PLANNED,PLANNED,koreanische fermentierte Chilipaste,Konventionelle Würzpaste mit mehreren vertrauten Anwendungen; Intensität allein erhöht die Kochungewöhnlichkeit nicht.,Ein gezielter Gang zum großen Supermarkt oder Asialaden ist realistischer als ein beliebiger spontaner Nahkauf.,Katalognotiz,Abgrenzung EASY/PLANNED anhand der tatsächlich regelmäßig genutzten Filialen bestätigen.,PROPOSED
A09,BULGUR,Bulgur,SPECIFIC,easy|familiar|dry|turkish-arabic,1,EASY,EASY,2,EASY,EASY,trockener Bulgur beliebiger üblicher Körnung,Vertraute Stärke mit etablierten Anwendungen aber nicht ganz universeller Alltagsstandard.,In normalen Supermärkten und türkisch-arabischen Sortimenten zuverlässig erhältlich.,Katalognotiz,,PROPOSED
A10,SUMAC,Sumach,SPECIFIC,easy-planned|familiar|dry|turkish-arabic,2,EASY,EASY,2,EASY,PLANNED,gemahlener Speisesumach,Etabliertes säuerndes Gewürz mit mehreren naheliegenden Anwendungen.,Für Georgia spricht das lokal plausiblere türkisch-arabische Sortiment für spontan; Tobias benötigt voraussichtlich den großen Edeka oder einen gezielten Einkauf.,Katalognotiz,Georgias konkrete lokale Standardquelle und Tobias' Edeka-Regelmäßigkeit bestätigen.,PROPOSED
