"concept_code","person","prior_note","revised_note","editorial_change"
"ADZUKI_BEANS","Georgia","Vom Bornheimer Standort aus bezieht Georgia Adzukibohnen über „Hülsenfrucht-, Konserven- oder Trockenwarenregal nach telefonischer Sortimentsabfrage“. Kleine rote Bohnen mit mild-nussigem, leicht süßlichem Geschmack; getrocknet oder vorgegart verwendbar.","Adzukibohnen sind in gut sortierten Vollsortimentern und im breiten deutschen Trockenwarenhandel planbar, lokal aber kein verlässlicher Standardartikel.","Unbelegte Telefonroutine und wiederholte Produktdefinition entfernt; tatsächlichen Handelsweg und lokale Grenze verdichtet."
"ADZUKI_BEANS","Tobias","Über gut sortierte Vollsortimenter und etablierte deutsche Bio- oder Trockenwarenhändler prüft Tobias in Rostock „Adzukibohnen“, wobei folgende Abgrenzung gilt: „Kleine rote Bohnen mit mild-nussigem, leicht süßlichem Geschmack; getrocknet oder vorgegart verwendbar.“","Adzukibohnen sind in gut sortierten Vollsortimentern und im breiten deutschen Trockenwarenhandel planbar, lokal aber kein verlässlicher Standardartikel.","Vollständige Produktdefinition entfernt; identische Notiz bewusst beibehalten, weil keine abweichende Beschaffungsrealität belegt ist."
"GARLIC","Tobias","Über die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts (Evidenzstand: die menschliche v2-Freigabe für diesen Weg und eine lokale Standortprüfung) prüft Tobias in Rostock „Knoblauch“, wobei folgende Abgrenzung gilt: „Knoblauchknolle mit schwefelig-scharfem, beim Garen süßlich-mildem Aroma; frisch gemeint, nicht Pulver.“","Frischer Knoblauch gehört zum gewöhnlichen Gemüseangebot nahezu jedes Supermarkts.","Falsche Aussage zur Freigabe der Notiz und erfundene Standortprüfung entfernt; offensichtlichen Alltagsgrund knapp benannt."
"ALIGUE","Tobias","Über den philippinischen Lebensmittel-Spezialhandel (Evidenzstand: die menschliche v2-Freigabe für diesen Weg und Frischeversand, Importbeschränkungen sowie einen gezielten Händlerbesuch) prüft Tobias in Rostock „Aligue“, wobei folgende Abgrenzung gilt: „Philippinische Würzpaste aus ausgelassenem Krabbenfett mit intensiv meeresfruchtig-röstigem Aroma; meist sparsam zum Aromatisieren verwendet.“","Aligue bleibt auf wenige philippinische Importwege ohne aktuell belegten robusten deutschen Händlerweg beschränkt.","Unbelegten Händlerbesuch, Freigabebehauptung und Geschmackstext auch aus der aktiven Marktbegründung entfernt; enge Marktbreite als fachlichen Engpass benannt."
"GAC_FRUIT","Georgia","Gấc-Frucht: Die Beschaffung bleibt schwierig — Bei Filipino Asian Store – Obst und Gemüse fehlt aktuell ein positiver Exakttreffer — Die Ausführung »Nicht Drachenfrucht oder bloße Lebensmittelfarbe« verschärft Händler-, Bestands- oder Frischegrenzen.","Tiefgekühltes Gấc-Fruchtfleisch ist über einen einzelnen deutschen Asia-Importshop lieferbar; TK-Versand und schmale Händlerbasis bleiben fragil.","Rein negativen Befund durch den korrigierten positiven Exakttreffer ersetzt; DIFFICULT bleibt wegen Einzelroute und TK-Logistik."
"DULSE","Georgia","Dulse: Georgia kann die getrocknete rote Speisealge als Arche-Dulse bei Shop Apotheke mit üblicher Lieferfrist nach Bornheim bestellen; geprüft werden Produktbestand und Standardversand, nicht eine sachfremde Obst- und Gemüseauslage.","Getrocknete Dulse ist über unabhängige deutsche Naturkosthändler mit Standardversand planbar; die Plattformlistung wird dem tatsächlichen Verkäufer Miraherba zugerechnet.","Marktplatz und tatsächlichen Verkäufer getrennt; unabhängige Marktpräsenz statt Plattformdomain als Breitenargument benannt."
"CHERVIL","Georgia","Für Georgia scheitert frischer Kerbel an der exakten Blattkrautform: Der allgemeine Lebensmittelweg hat keinen stabilen Bestand, während die einzige positive Bestellung eine lebende 9-cm-Pflanze aus einer Gärtnerei ist. Erntefenster und Pflanzenversand verengen die Bornheimer Beschaffung deutlich.","Frischer Kerbel ist über einen aktiven Gemüseversender sowie ergänzende allgemeine Kettenlistings planbar; Saison und lokaler Bestand bleiben variabel.","Passiven Händler aus der positiven Marktbreite entfernt; aktive formgenaue Bundware und ergänzende allgemeine Kettenwege tragen PLANNED weiterhin."
"DUCK_EGG","Georgia","Entenei: In der Warengruppe Ei ist nur ein enger Markt sichtbar — Die positive Suche endet bei Gourmet Versand – Enten, Gänse und Foie gras — Kühlversand macht Bestand oder Zustellung fragil — Als Treffer zählt »frisch zu garen, nicht bereits gesalzen oder fermentiert«.","Für frische Enteneier ergab die gezielte Endkundensuche keinen belastbaren Versandweg; mögliche Hof- oder Marktangebote bleiben regional und saisonal.","Falschen Fleischkategorie-Treffer entfernt; Ergebnis der formgenauen Negativsuche ohne erfundene positive Route festgehalten."
"FRUIT_DUMPLING","Georgia","Tiefgekühlte Marillen-Fruchtknödel sind über zwei deutsche Lebensmittelhändler bestellbar; Packungsgröße und TK-Zustellung erfordern Planung.","Fruchtgefüllte TK-Knödel sind nur über einen belegten Spezialversandweg im 3-kg-Gebinde erhältlich; der kleinere MyBio-Artikel ist ausverkauft und ohne bestätigten TK-Lieferweg.","MyBio als positiven Weg entfernt; verbleibende Einzelroute, Gebinde und TK-Logistik begründen die gezielte Korrektur von PLANNED auf DIFFICULT."
"GOAT","Georgia","Ziegenfleisch ist bei unabhängigen deutschen Online-Metzgereien mit gekühlter Lieferung innerhalb des normalen Vorlaufs planbar.","Ziegenfleisch ist über eine aktuell lieferbare deutsche Feinkost-Metzgerei mit Kühlversand planbar; ein Ziegenhof ergänzt bestandsbegrenzte TK-Einzelzuschnitte binnen 3–5 Tagen.","Alber und Heilmanns aus der positiven Begründung entfernt; PLANNED ausschließlich mit den aktuell belegten Pum- und Holler-Hof-Wegen fortgeführt."
