concept_code,person,observed_route_category,required_route_focus,audit_reason,audit_status
ADZUKI_BEANS,Georgia,SEPARATE_OPEN_FORM_CONTROL,"Alle zugelassenen Produktformen beibehalten und den Einkaufsweg daran ausrichten: Kleine rote Bohnen mit mild-nussigem, leicht süßlichem Geschmack; getrocknet oder vorgegart verwendbar.",ADZUKI_BEANS wurde im getrennten Georgia-Lauf als Gegenkontrolle auf dieselbe unzulässige Einzelform-Verengung geprüft.,ROUTE_VERIFIED
ADZUKI_BEANS,Tobias,HEURISTIC_SINGLE_FORM_FROM_OPEN_PRODUCT_FORM,"Alle zugelassenen Produktformen beibehalten und den Einkaufsweg daran ausrichten: Kleine rote Bohnen mit mild-nussigem, leicht süßlichem Geschmack; getrocknet oder vorgegart verwendbar.","ADZUKI_BEANS wurde im Tobias-Lauf trotz offener oder alternativer Produktform heuristisch auf eine einzelne frische, getrocknete, gemahlene oder konservierte Form verengt.",ROUTE_VERIFIED
AJVAR,Georgia,Obst-/Gemuesebereich,Saucen-/Wuerzpasten- oder Feinkostregal fuer Ajvar,AJVAR wurde im Ausgangs-Notizlauf einer nicht zur kuratierten Produktform passenden Warengruppe zugeordnet; die finale Notiz muss den genannten konkreten Einkaufsweg verwenden.,ROUTE_VERIFIED
AJVAR,Tobias,SEPARATE_PERSON_ROUTE_REVIEW,Saucen-/Wuerzpasten- oder Feinkostregal fuer Ajvar,"AJVAR wurde im getrennten Tobias-Durchgang gegen Produktform, Warengruppe und realistischen Rostocker bzw. deutschen Einkaufsweg gegengeprüft; die finale Notiz muss den genannten konkreten Einkaufsweg einhalten.",ROUTE_VERIFIED
ALLSPICE,Georgia,Getraenke-/Weinregal,Gewuerzregal fuer getrocknete Pimentbeeren,ALLSPICE wurde im Ausgangs-Notizlauf einer nicht zur kuratierten Produktform passenden Warengruppe zugeordnet; die finale Notiz muss den genannten konkreten Einkaufsweg verwenden.,ROUTE_VERIFIED
ALLSPICE,Tobias,SEPARATE_PERSON_ROUTE_REVIEW,Gewuerzregal fuer getrocknete Pimentbeeren,"ALLSPICE wurde im getrennten Tobias-Durchgang gegen Produktform, Warengruppe und realistischen Rostocker bzw. deutschen Einkaufsweg gegengeprüft; die finale Notiz muss den genannten konkreten Einkaufsweg einhalten.",ROUTE_VERIFIED
ALMOND,Georgia,SYSTEMATIC_OPEN_FORM_AND_PARENT_ROUTE_REVIEW,"Nuss-/Backregal; alle zugelassenen ganzen, gehackten, gemahlenen oder blanchierten Formen offenhalten","ALMOND wurde in der finalen Gegenprüfung auf Roh-Elternroute, unzulässige Einzelform und die korrekte verarbeitete beziehungsweise offene Produktform geprüft.",ROUTE_VERIFIED
ALMOND,Tobias,SYSTEMATIC_OPEN_FORM_AND_PARENT_ROUTE_REVIEW,"Nuss-/Backregal; alle zugelassenen ganzen, gehackten, gemahlenen oder blanchierten Formen offenhalten","ALMOND wurde in der finalen Gegenprüfung auf Roh-Elternroute, unzulässige Einzelform und die korrekte verarbeitete beziehungsweise offene Produktform geprüft.",ROUTE_VERIFIED
ALMOND_BUTTER,Georgia,Molkerei-/Kaesebereich,Brotaufstrich-/Nussmusregal fuer Mandelmus,ALMOND_BUTTER wurde im Ausgangs-Notizlauf einer nicht zur kuratierten Produktform passenden Warengruppe zugeordnet; die finale Notiz muss den genannten konkreten Einkaufsweg verwenden.,ROUTE_VERIFIED
ALMOND_BUTTER,Tobias,SEPARATE_PERSON_ROUTE_REVIEW,Brotaufstrich-/Nussmusregal fuer Mandelmus,"ALMOND_BUTTER wurde im getrennten Tobias-Durchgang gegen Produktform, Warengruppe und realistischen Rostocker bzw. deutschen Einkaufsweg gegengeprüft; die finale Notiz muss den genannten konkreten Einkaufsweg einhalten.",ROUTE_VERIFIED
