concept_code,display_name,active,random_draw_enabled,challenge_specificity,current_cooking_novelty,current_availability_georgia,current_availability_tobias,current_base_draw_weight,direct_parent_codes,direct_child_codes,curator_note,proposed_review_applicability,proposed_cooking_novelty,proposed_availability_georgia,proposed_availability_tobias,proposed_base_draw_weight_review,review_rationale,evidence,approval_status
ADZUKI_BEANS,Adzukibohnen,true,true,SPECIFIC,3,PLANNED,PLANNED,0.4500,BEANS,,"Kleine rote Bohnen mit mild-nussigem, leicht süßlichem Geschmack; getrocknet oder vorgegart verwendbar.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
AGAVE_SYRUP,Agavendicksaft,true,true,SPECIFIC,1,EASY,EASY,0.4500,SYRUP,,Konzentrierter Sirup aus Agaven; süßt neutraler als Honig und bleibt auch kalt gut löslich.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
AIOLI,Aioli,true,true,SPECIFIC,1,EASY,EASY,0.5500,READY_SAUCES_AND_PASTES,,"Knoblauch-Öl-Emulsion nach Aioli-/Allioli-Art; traditionell ohne Ei möglich, moderne Varianten können Ei enthalten. Knoblauch und Öl sind definierend; nicht beliebige Mayonnaise mit Knoblaucharoma.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
AJVAR,Ajvar,true,true,SPECIFIC,2,EASY,EASY,0.5500,BELL_PEPPER|PRESERVED_PRODUCE|READY_SAUCES_AND_PASTES,,"Balkanische Paprikazubereitung aus gerösteter Paprika, häufig mit Aubergine; als fertige Würzpaste oder Beilage gemeint.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
AJWAIN,Ajwain,true,true,SPECIFIC,5,PLANNED,DIFFICULT,0.2500,SPICES,,"Kräftig thymianartig schmeckende Samenfrucht, die meist sparsam und häufig angeröstet als Gewürz verwendet wird.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
ALFALFA_SPROUTS,Alfalfasprossen,true,true,SPECIFIC,3,PLANNED,PLANNED,0.4500,SPROUTS,,Zarte Luzernensprossen mit mild-grünem Geschmack; vor allem roh oder nur sehr kurz erhitzt verwendbar.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
ALIGUE,Aligue,true,true,SPECIFIC,5,DIFFICULT,DIFFICULT,0.1800,READY_SAUCES_AND_PASTES,,Philippinische Würzpaste aus ausgelassenem Krabbenfett mit intensiv meeresfruchtig-röstigem Aroma; meist sparsam zum Aromatisieren verwendet.,APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
ALLIUM_VEGETABLES,Lauch- und Zwiebelgemüse,true,true,OPEN,1,EASY,EASY,0.5500,VEGETABLES,CHIVES|GARLIC|GARLIC_CHIVES|LEEK|ONION|SHALLOT|SPRING_ONION,"Offene Vorgabe für Zwiebel-, Lauch- und verwandte Gemüsearten mit schwefelig-aromatischer Würzwirkung.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
ALLSPICE,Piment,true,true,SPECIFIC,2,EASY,EASY,0.4500,SPICES,,"Getrocknete Pimentbeeren mit Aromen, die an Nelke, Zimt und Muskat erinnern; nicht mit einer Gewürzmischung verwechseln.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
ALMOND,Mandeln,true,true,SPECIFIC,1,EASY,EASY,0.6500,NUTS,ALMOND_BUTTER|MARZIPAN,"Mandeln mit mild-nussigem Geschmack; ganz, gehackt, gemahlen oder blanchiert einsetzbar.",APPLICABLE,,,,,,,WAITING_FOR_HUMAN_ANCHOR_APPROVAL
