"concept_code","georgia_before","tobias_before","recommended_georgia","recommended_tobias","audit_reason","evidence_focus","audit_status"
"AGAVE_SYRUP","EASY","PLANNED","EASY","EASY","Für Agavendicksaft ist die erlaubte Form „Konzentrierter Sirup aus Agaven“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Agavendicksaft und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"AJVAR","PLANNED","EASY","EASY","EASY","Für Ajvar ist die erlaubte Form „Balkanische Paprikazubereitung aus gerösteter Paprika, häufig mit Aubergine“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Ajvar und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"ALMOND_DRINK","EASY","PLANNED","EASY","EASY","Für Mandeldrink ist die erlaubte Form „Flüssiger Pflanzendrink auf Mandelbasis“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Mandeldrink und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"ANCHOVIES","PLANNED","EASY","EASY","EASY","Für Sardellen ist die erlaubte Form „Kleine fettreiche Fische, als Kochzutat meist gesalzen und in Öl oder Lake konserviert“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Sardellen und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"BANANA_KETCHUP","DIFFICULT","DIFFICULT","SPECIALTY","SPECIALTY","Mehrere unabhängige deutsche Händler, darunter breit aufgestellte Asia-Shops, führen haltbaren Bananenketchup aktuell regulär; die philippinische Herkunft allein macht den Markt nicht eng genug für DIFFICULT.","Unabhängige Händler Asiafoodland, Filipino Asian Store, Pinoyfood und weitere auf Bestand, Endkundenversand und exakte Bananenketchup-Form prüfen; bloße Varianten desselben Listings deduplizieren.","EQUAL_CASE_CORRECTION_REQUIRED"
"BEEF_ROAST","EASY","PLANNED","EASY","EASY","Für Rinderbraten ist die erlaubte Form „Größeres Rindfleischstück zum Braten oder Schmoren“ gewöhnliche deutsche Basisversorgung. Die abweichende Schwelle ist nicht durch einen konkreten, nur einer Person offenstehenden Bezugsweg belegt.","Zwei gewöhnliche lokale Supermarktquellen je Wohnort für Rinderbraten und die exakte Form prüfen; Spezialgeschäft, Onlineweg und bloßen Einzelfund nicht als EASY-Beleg zählen.","ALIGNMENT_CORRECTION_REQUIRED"
"BEEF_TENDERLOIN","PLANNED","EASY","PLANNED","PLANNED","Bei Rinderfilet ist die Form „Sehr zartes und mageres Rinderfilet für kurze Garung“ über gut sortierte allgemeine Ketten, etablierten Fachhandel oder robusten allgemeinen Onlinehandel planbar, aber nicht mit nahezu universeller Nahmarktquote. Das Ortsprofil ändert diese Marktklasse nicht.","Aktuelles Sortiment einer breiten allgemeinen Kette oder eines nicht nischengebundenen Fach-/Onlinewegs für Rinderfilet; lokale Trefferquote und exakte Form getrennt belegen.","ALIGNMENT_CORRECTION_REQUIRED"
"BERBERE","PLANNED","SPECIALTY","PLANNED","PLANNED","Die formgenaue Nachprüfung belegt Berbere unabhängig bei zwei allgemeinen deutschen Gewürzhändlern als trockene, standardversandfähige Mischung. Damit trägt die v2-Semantik PLANNED für beide Profile und keinen Personenunterschied.","Bremer Gewürzhandel und Pfeffersack & Soehne auf direkte Produktform, positiven Bestand und gewöhnlichen Deutschlandversand prüfen.","ALIGNMENT_CORRECTION_REQUIRED"
"BIVALVES","PLANNED","EASY","PLANNED","PLANNED","Für Muscheln belegt der Rostocker Vorteil einen gezielten Fischmarktweg, aber keine hohe Trefferquote in mehreren gewöhnlichen Supermärkten. Nach der verbindlichen Profilregel trägt ein dedizierter Fischhändler höchstens PLANNED; deshalb gilt PLANNED für Georgia und Tobias.","Den allgemeinen deutschen Fischfachhandel oder robuste Seafood-Versandwege für die exakte Form von Muscheln belegen; dedizierten Fischmarkt und generische Kettenseite nicht als EASY-Nachweis verwenden.","ALIGNMENT_CORRECTION_REQUIRED"
"BLACK_BEANS","PLANNED","EASY","PLANNED","PLANNED","Bei schwarze Bohnen ist die Form „Schwarze Bohnen mit cremigem Inneren und mild-erdigem Geschmack“ über gut sortierte allgemeine Ketten, etablierten Fachhandel oder robusten allgemeinen Onlinehandel planbar, aber nicht mit nahezu universeller Nahmarktquote. Das Ortsprofil ändert diese Marktklasse nicht.","Aktuelles Sortiment einer breiten allgemeinen Kette oder eines nicht nischengebundenen Fach-/Onlinewegs für schwarze Bohnen; lokale Trefferquote und exakte Form getrennt belegen.","ALIGNMENT_CORRECTION_REQUIRED"
