concept_code,person,current_availability,recommended_availability,fields,issue_type,audit_finding,required_correction,audit_status
SAFFRON,Tobias,EASY,EASY,market_basis,ANCHOR_OVERRIDE_CONTRADICTION,"Der Market-Basis-Text behauptet weiterhin PLANNED und verneint die EASY-Ausweichquellenregel, obwohl der effektive v2-Override EASY freigibt.",Market basis und Notiz auf den effektiven Override ausrichten: gewöhnliches Gewürzsortiment mehrerer Supermärkte; Preis ist kein Availability-Grund.,RESOLVED_VERIFIED
LOBSTER,Tobias,SPECIALTY,SPECIALTY,market_basis,ANCHOR_OVERRIDE_CONTRADICTION,Der Market-Basis-Text behauptet einen allgemeinen planbaren Seafood-Weg und widerspricht damit dem effektiven v2-Override auf SPECIALTY.,Market basis auf einschlägigen breiten Seafood-Spezialmarkt ohne hinreichend breiten allgemeinen PLANNED-Weg umstellen.,RESOLVED_VERIFIED
TWAROG,Georgia,SPECIALTY,SPECIALTY,market_basis|availability_note,WRONG_PERSON_ANCHOR_NOTE,Basis und Notiz begründen Georgias Wert ausschließlich mit einer Aussage über Tobias und enthalten keinen Georgia-spezifischen Bezugsweg.,Georgia-Notiz auf den breiten osteuropäischen Spezialmarkt ihres Profils beziehen; Tobias-Override nicht als Georgia-Kernnotiz verwenden.,RESOLVED_VERIFIED
TWAROG,Tobias,SPECIALTY,SPECIALTY,market_basis|availability_note,ANCHOR_OVERRIDE_CONTRADICTION,"Basis und Notiz behaupten einen robusten beziehungsweise mehrfachen osteuropäischen Weg, obwohl der Override gerade keinen konkret regelmäßig bestückten PLANNED-Weg bestätigt.",Tobias-Notiz am Override ausrichten und fehlenden regelmäßig bestückten allgemeinen Weg sowie verbleibenden Spezialmarkt konkret benennen.,RESOLVED_VERIFIED
BIRDS_EYE_CHILI,Georgia,SPECIALTY,SPECIALTY,availability_note,WRONG_PERSON_REGION_CORE,Georgias Ankernotiz argumentiert mit Rostocker Asia-Läden und enthält keinen konkret auf Georgia bezogenen breiten Spezialmarktweg.,"Den bindenden SPECIALTY-Wert beibehalten, aber Georgias erreichbaren breiten Asia-Spezialmarkt als ihren eigenen Weg nennen; Rostock nur in Tobias’ Notiz beziehungsweise als expliziten Vergleich aufnehmen.",RESOLVED_VERIFIED
CURRY_LEAVES,Tobias,DIFFICULT,DIFFICULT,availability_note,PRODUCT_FORM_LOGISTICS_OMISSION,Die Notiz kürzt die Ankerform vor der entscheidenden Frisch-/TK-Abgrenzung ab und beschreibt nur ein Frischesortiment; Currypulver-Ausschluss und TK-Weg fehlen.,Frische und tiefgekühlte Curryblätter samt Kühl-/TK-Logistik und Ausschluss von Currypulver als formkritischen Engpass konkret benennen.,RESOLVED_VERIFIED
DATE_SYRUP,Tobias,SPECIALTY,SPECIALTY,availability_note,REPEATED_DIFFERENCE_TEMPLATE,"Die Notiz teilt ihr vollständiges Gerüst mit Harissa, Pul Biber und Sumach; nach Abstraktion von Name und kopierter Form bleibt nur dieselbe Specialty-Paraphrase.",Den haltbaren Dattelsirup und seine Abgrenzung zu Melasse mit dem konkret einschlägigen Sirup-/Feinkostweg und dessen Marktbreite individuell begründen.,RESOLVED_VERIFIED
HARISSA,Tobias,SPECIALTY,SPECIALTY,availability_note,REPEATED_DIFFERENCE_TEMPLATE,"Die Notiz teilt ihr vollständiges Gerüst mit Dattelsirup, Pul Biber und Sumach; nach Abstraktion von Name und kopierter Form bleibt nur dieselbe Specialty-Paraphrase.",Die gebrauchsfertige nordafrikanische Paste und ihre reguläre Präsenz im einschlägigen Würzpasten-/Feinkostsortiment individuell begründen.,RESOLVED_VERIFIED
PUL_BIBER,Tobias,SPECIALTY,SPECIALTY,availability_note,REPEATED_DIFFERENCE_TEMPLATE,"Die Notiz teilt ihr vollständiges Gerüst mit Dattelsirup, Harissa und Sumach; nach Abstraktion von Name und kopierter Form bleibt nur dieselbe Specialty-Paraphrase.",Die groben türkischen Chiliflocken samt Abgrenzung zu beliebigen Chiliflocken und die konkrete Spezialmarktbreite individuell begründen.,RESOLVED_VERIFIED
SUMAC,Tobias,SPECIALTY,SPECIALTY,availability_note,REPEATED_DIFFERENCE_TEMPLATE,"Die Notiz teilt ihr vollständiges Gerüst mit Dattelsirup, Harissa und Pul Biber; nach Abstraktion von Name und kopierter Form bleibt nur dieselbe Specialty-Paraphrase.",Gemahlenen essbaren Sumach samt Ersatz-/Formrisiko und den konkret einschlägigen Gewürzweg individuell begründen.,RESOLVED_VERIFIED
ALMOND_BUTTER,Georgia,PLANNED,PLANNED,market_basis|availability_note,WRONG_MARKET_ROUTE,Mandelmus wird Käsetheke und EU-Kühlversand zugeordnet.,"Nussmus-/Aufstrichregal, Bio-/Feinkosthandel oder ungekühlten allgemeinen Versand als realen Weg nennen.",RESOLVED_VERIFIED
APPLE_CIDER_VINEGAR,Georgia,EASY,EASY,availability_note,WRONG_MARKET_ROUTE,Apfelessig wird dem Obst- und Gemüsebereich zugeordnet.,Gewöhnliches Essig-/Würzregal mehrerer lokaler Märkte nennen.,RESOLVED_VERIFIED
