"concept_code"	"display_name"	"source_review_head"	"previous_proposed_cooking_novelty"	"reaudited_cooking_novelty"	"reaudit_outcome"	"reaudit_note"	"approval_status"
"ADZUKI_BEANS"	"Adzukibohnen"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"AGAVE_SYRUP"	"Agavendicksaft"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"AIOLI"	"Aioli"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"AJVAR"	"Ajvar"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"AJWAIN"	"Ajwain"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"ALFALFA_SPROUTS"	"Alfalfasprossen"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"ALLIUM_VEGETABLES"	"Lauch- und Zwiebelgemüse"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"ALLSPICE"	"Piment"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"ALMOND"	"Mandeln"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"ALMOND_BUTTER"	"Mandelmus"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"ALMOND_DRINK"	"Mandeldrink"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"AMARANTH"	"Amaranth"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"ANCHO_CHILI"	"Ancho-Chili"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"ANCHOVIES"	"Sardellen"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"ANNATTO"	"Annatto"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"3"	"3"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"APPLE"	"Apfel"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"APPLE_CIDER_VINEGAR"	"Apfelessig"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"1"	"1"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"APRICOT"	"Aprikose"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
"ARTICHOKE"	"Artischocke"	"5cb9e82ec9e2d367a996c945750edf9c3bce7559"	"2"	"2"	"REAUDITED_RETAINED"	"Konkrete Art, Produktform und verpflichtende Kochrolle einzeln geprüft; bisheriger Wert bestätigt."	"PROPOSED_FOR_HUMAN_REVIEW"
