"concept_code"	"display_name"	"review_applicability"	"product_form_basis"	"market_class_georgia"	"market_basis_georgia"	"proposed_availability_georgia"	"availability_note_georgia"	"evidence_requirement_georgia"	"availability_evidence_georgia"	"market_class_tobias"	"market_basis_tobias"	"proposed_availability_tobias"	"availability_note_tobias"	"evidence_requirement_tobias"	"availability_evidence_tobias"	"review_flags"	"approval_status"
"ADZUKI_BEANS"	"Adzukibohnen"	"APPLICABLE"	"Kleine rote Bohnen mit mild-nussigem, leicht süßlichem Geschmack; getrocknet oder vorgegart verwendbar."	"GENERAL_BROAD"	"Katalogpfad Bohnen → Hülsenfrüchte. Warengruppe Hülsenfrucht, formrelevanter Prüfhinweis aus der vollständigen Definition: »getrocknet oder vorgegart verwendbar«. Allgemein planbarer, aber nicht lokal garantierter Weg über einen vorbereiteten Einkauf im gut sortierten Bereich »Hülsenfrucht-, Konserven- oder Trockenwarenregal«."	"PLANNED"	"Adzukibohnen sind in gut sortierten Vollsortimentern und im breiten deutschen Trockenwarenhandel planbar, lokal aber kein verlässlicher Standardartikel."	"OPTIONAL"	""	"GENERAL_BROAD"	"Tobias prüft „Adzukibohnen“ in Rostock über gut sortierte Vollsortimenter und etablierte deutsche Bio- oder Trockenwarenhändler."	"PLANNED"	"Adzukibohnen sind in gut sortierten Vollsortimentern und im breiten deutschen Trockenwarenhandel planbar, lokal aber kein verlässlicher Standardartikel."	"OPTIONAL"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"AGAVE_SYRUP"	"Agavendicksaft"	"APPLICABLE"	"Konzentrierter Sirup aus Agaven; süßt neutraler als Honig und bleibt auch kalt gut löslich."	"GENERAL_LOCAL"	"Katalogpfad Sirup → Süßungsmittel. Warengruppe Süßungs- oder Kakaoware, formrelevanter Prüfhinweis aus der vollständigen Definition: »süßt neutraler als Honig und bleibt auch kalt gut löslich«. Regelweg in Bornheim über den lokalen Supermarktbereich »Backzutaten-, Süßwaren- oder Kakaoregal« in Bornheim."	"EASY"	"Agavendicksaft: gewöhnlicher lokaler Bezugsweg über den Bereich »Backzutaten-, Süßwaren- oder Kakaoregal«."	"OPTIONAL"	""	"GENERAL_LOCAL"	"Tobias prüft „Agavendicksaft“ in Rostock über das Back-, Süßwaren- oder Brotregal eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Agavendicksaft: Rostocker Bezugsweg über das Back-, Süßwaren- oder Brotregal eines gewöhnlichen großen Rostocker Supermarkts."	"OPTIONAL"	""	"RATING_RECONCILED_V2|TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"AIOLI"	"Aioli"	"APPLICABLE"	"Knoblauch-Öl-Emulsion nach Aioli-/Allioli-Art; traditionell ohne Ei möglich, moderne Varianten können Ei enthalten. Knoblauch und Öl sind definierend; nicht beliebige Mayonnaise mit Knoblaucharoma."	"GENERAL_LOCAL"	"Katalogpfad fertige Sauce oder Würzpaste → Sauce, Würzmittel oder Paste. Warengruppe Sauce oder Würzpaste, formrelevanter Prüfhinweis aus der vollständigen Definition: »nicht beliebige Mayonnaise mit Knoblaucharoma«. Regelweg in Bornheim über das örtliche Sortiment »Saucen-, Würzpasten- und Feinkostregal« beim Wocheneinkauf in Bornheim."	"EASY"	"Aioli: gewöhnlicher lokaler Bezugsweg über den Bereich »Saucen-, Würzpasten- und Feinkostregal«."	"OPTIONAL"	""	"GENERAL_LOCAL"	"Tobias prüft „Aioli“ in Rostock über das Saucen-, Essig- oder Feinkostregal eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Aioli: Rostocker Bezugsweg über das Saucen-, Essig- oder Feinkostregal eines gewöhnlichen großen Rostocker Supermarkts."	"OPTIONAL"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"AJVAR"	"Ajvar"	"APPLICABLE"	"Balkanische Paprikazubereitung aus gerösteter Paprika, häufig mit Aubergine; als fertige Würzpaste oder Beilage gemeint."	"GENERAL_LOCAL"	"Katalogpfad Paprika → konservierte pflanzliche Zutat → fertige Sauce oder Würzpaste → Fruchtgemüse. Warengruppe Sauce oder Würzpaste, formrelevanter Prüfhinweis aus der vollständigen Definition: »als fertige Würzpaste oder Beilage gemeint«. Regelweg in Bornheim über den regulären Bornheimer Regalweg »Saucen-, Würzpasten- und Feinkostregal«."	"EASY"	"Ajvar: gewöhnlicher lokaler Bezugsweg über den Bereich »Saucen-, Würzpasten- und Feinkostregal«."	"OPTIONAL"	""	"GENERAL_LOCAL"	"Für „Ajvar“ führt der Rostocker Marktweg über das Saucen-, Essig- oder Feinkostregal eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Ajvar: Rostocker Bezugsweg über das Saucen-, Essig- oder Feinkostregal eines gewöhnlichen großen Rostocker Supermarkts."	"OPTIONAL"	""	"RATING_RECONCILED_V2|TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"AJWAIN"	"Ajwain"	"APPLICABLE"	"Kräftig thymianartig schmeckende Samenfrucht, die meist sparsam und häufig angeröstet als Gewürz verwendet wird."	"SPECIALTY_BROAD"	"Katalogpfad Gewürz oder trockenes Würzmittel. Warengruppe Gewürz, formrelevanter Prüfhinweis aus der vollständigen Definition: »sparsam und häufig angeröstet als Gewürz verwendet wird«. Breiter einschlägiger Spezialmarkt über die voneinander unabhängigen Händler Sairas – TRS Ajwain Seeds sowie AsianBrand – Ajwain/Ajowan."	"SPECIALTY"	"Ajwain ist als ganze Samen im indisch geprägten Gewürzhandel breit etabliert, im allgemeinen Handel aber kein Standardartikel."	"REQUIRED"	"AV2N-A-0001|AV2N-A-0002"	"SPECIALTY_BROAD"	"Tobias prüft „Ajwain“ in Rostock über AsianBrand – Ajwain/Ajowan und Sairas – TRS Ajwain Seeds, wobei die Evidenz ein dokumentiertes laufendes Angebot und Standardversand ausweist."	"SPECIALTY"	"Ajwain ist als ganze Samen im indisch geprägten Gewürzhandel breit etabliert, im allgemeinen Handel aber kein Standardartikel."	"REQUIRED"	"AV2N-A-0001|AV2N-A-0002"	"EVIDENCE_REQUIRED|RESEARCH_REQUIRED|SPECIALTY_MARKET_BREADTH|TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"ALFALFA_SPROUTS"	"Alfalfasprossen"	"APPLICABLE"	"Zarte Luzernensprossen mit mild-grünem Geschmack; vor allem roh oder nur sehr kurz erhitzt verwendbar."	"GENERAL_BROAD"	"Katalogpfad Sprossen → Gemüse. Warengruppe Gemüse oder Pilz, formrelevanter Prüfhinweis aus der vollständigen Definition: »vor allem roh oder nur sehr kurz erhitzt verwendbar«. Für Georgia führt der formgenaue Weg vom Bornheimer Standort über „Obst- und Gemüseabteilung mit vorab zu prüfendem Filialbestand“."	"PLANNED"	"Frische Alfalfasprossen sind über gut sortierte Gemüseabteilungen planbar; der konkrete Filialbestand muss vor dem Einkauf geprüft werden."	"OPTIONAL"	""	"GENERAL_BROAD"	"Tobias prüft „Alfalfasprossen“ in Rostock über gut sortierte Vollsortimenter und etablierte deutsche Gemüse- oder Frischehändler."	"PLANNED"	"Frische Alfalfasprossen sind über gut sortierte Gemüseabteilungen planbar; der konkrete Filialbestand muss vor dem Einkauf geprüft werden."	"OPTIONAL"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"ALIGUE"	"Aligue"	"APPLICABLE"	"Philippinische Würzpaste aus ausgelassenem Krabbenfett mit intensiv meeresfruchtig-röstigem Aroma; meist sparsam zum Aromatisieren verwendet."	"NICHE_IMPORT"	"Der freigegebene v2-Anker hält DIFFICULT wegen des sehr engen philippinischen Nischenimports fest; er ist eine Wertfreigabe, keine Händler- oder Bestandsprüfung. Ein robuster deutscher Spezialmarkt ist aktuell nicht belegt."	"DIFFICULT"	"Aligue bleibt auf wenige philippinische Importwege ohne aktuell belegten robusten deutschen Händlerweg beschränkt."	"REQUIRED"	"AV2E-075"	"NICHE_IMPORT"	"Der freigegebene v2-Anker hält DIFFICULT wegen des sehr engen philippinischen Nischenimports fest; er ist eine Wertfreigabe, keine Händler- oder Bestandsprüfung. Ein robuster deutscher Spezialmarkt ist aktuell nicht belegt."	"DIFFICULT"	"Aligue bleibt auf wenige philippinische Importwege ohne aktuell belegten robusten deutschen Händlerweg beschränkt."	"REQUIRED"	"AV2E-075"	"EVIDENCE_REQUIRED|FORM_OR_LOGISTICS_RISK|FORM_OR_ROUTE_FRAGILE|REFERENCE_ANCHOR|REFERENCE_ANCHOR_V2|RESEARCH_REQUIRED|TOBIAS_ROSTOCK_PROFILE"	"RATING_APPROVED_NOTE_PROPOSED_REFERENCE_ANCHOR_V2"
"ALLIUM_VEGETABLES"	"Lauch- und Zwiebelgemüse"	"APPLICABLE"	"Offene Vorgabe für Zwiebel-, Lauch- und verwandte Gemüsearten mit schwefelig-aromatischer Würzwirkung."	"GENERAL_LOCAL"	"Katalogpfad Gemüse. Warengruppe Gemüse oder Pilz, formrelevanter Prüfhinweis aus der vollständigen Definition: »Zwiebel-, Lauch- und verwandte Gemüsearten mit schwefelig-aromatischer Würzwirkung«. Regelweg in Bornheim über ortsübliche Vollsortimenter rund um Bornheim, konkret im Bereich »Obst- und Gemüseabteilung«."	"EASY"	"Lauch- und Zwiebelgemüse: gewöhnlicher lokaler Bezugsweg über den Bereich »Obst- und Gemüseabteilung«."	"OPTIONAL"	""	"GENERAL_LOCAL"	"Tobias prüft „Lauch- und Zwiebelgemüse“ in Rostock über die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Lauch- und Zwiebelgemüse: Rostocker Bezugsweg über die Gemüseabteilung eines gewöhnlichen großen Rostocker Supermarkts."	"OPTIONAL"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"ALLSPICE"	"Piment"	"APPLICABLE"	"Getrocknete Pimentbeeren mit Aromen, die an Nelke, Zimt und Muskat erinnern; nicht mit einer Gewürzmischung verwechseln."	"GENERAL_LOCAL"	"Katalogpfad Gewürz oder trockenes Würzmittel. Warengruppe Gewürz, formrelevanter Prüfhinweis aus der vollständigen Definition: »nicht mit einer Gewürzmischung verwechseln«. Regelweg in Bornheim über ortsübliche Vollsortimenter rund um Bornheim, konkret im Bereich »Gewürz- und Trockenwürzregal«."	"EASY"	"Piment: gewöhnlicher lokaler Bezugsweg über den Bereich »Gewürz- und Trockenwürzregal«."	"OPTIONAL"	""	"GENERAL_LOCAL"	"Tobias prüft „Piment“ in Rostock über das Gewürz- oder Backregal eines gewöhnlichen großen Rostocker Supermarkts."	"EASY"	"Piment: Rostocker Bezugsweg über das Gewürz- oder Backregal eines gewöhnlichen großen Rostocker Supermarkts."	"OPTIONAL"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
"ALMOND"	"Mandeln"	"APPLICABLE"	"Mandeln mit mild-nussigem Geschmack; ganz, gehackt, gemahlen oder blanchiert einsetzbar."	"GENERAL_LOCAL"	"Katalogpfad Nüsse. Warengruppe Nuss, Saat oder Mus, formrelevanter Prüfhinweis aus der vollständigen Definition: »ganz, gehackt, gemahlen oder blanchiert einsetzbar«. Regelweg in Bornheim über das örtliche Sortiment »Nuss-, Saaten- oder Nussmusregal« beim Wocheneinkauf in Bornheim."	"EASY"	"Mandeln: gewöhnlicher lokaler Bezugsweg über den Bereich »Nuss-, Saaten- oder Nussmusregal«."	"OPTIONAL"	""	"GENERAL_LOCAL"	"Mandeln: geprüft wird das Nuss-, Saaten- und Backregal gewöhnlicher großer Rostocker Supermärkte; der Treffer darf ganze, gehackte, gemahlene oder blanchierte Mandeln abdecken."	"EASY"	"Mandeln: geprüft wird das Nuss-, Saaten- und Backregal gewöhnlicher großer Rostocker Supermärkte; der Treffer darf ganze, gehackte, gemahlene oder blanchierte Mandeln abdecken."	"OPTIONAL"	""	"TOBIAS_ROSTOCK_PROFILE"	"PROPOSED_FOR_HUMAN_REVIEW"
