concept_key,display_name,asset_path,asset_kind,status,notes
tofu,Tofu,assets/ingredients/tofu.png,ingredient,approved,Issue #135 reference asset; 1024px RGBA; on-demand illustration QA documented in review/issue-135-illustration-qa.md
mango,Mango,assets/ingredients/mango.png,ingredient,approved,Issue #135 reference asset; 1024px RGBA; on-demand illustration QA documented in review/issue-135-illustration-qa.md
miso,Miso,assets/ingredients/miso.png,ingredient,approved,Issue #135 reference asset; 1024px RGBA; ochre matte paste in neutral bowl; on-demand illustration QA documented in review/issue-135-illustration-qa.md
blattgemuese,Blattgemüse,assets/open-concepts/blattgemuese.png,open-concept,approved,Issue #135 reference asset; 1024px RGBA; Pak Choi spinach and cabbage group; on-demand illustration QA documented in review/issue-135-illustration-qa.md
pflanzliches-proteinprodukt,Pflanzliches Proteinprodukt,assets/open-concepts/pflanzliches-proteinprodukt.png,open-concept,approved,Issue #135 reference asset; 1024px RGBA; tofu tempeh and seitan group; on-demand illustration QA documented in review/issue-135-illustration-qa.md
aubergine,Aubergine,assets/ingredients/aubergine.png,ingredient,approved,Challenge #666 on-demand asset; 1024px RGBA; whole violet aubergine with green calyx; transparent-ground and card QA completed
brokkoli,Brokkoli,assets/ingredients/brokkoli.png,ingredient,approved,Challenge #666 on-demand asset; 1024px RGBA; single broccoli head with clear florets and stalk; transparent-ground and card QA completed
kimchi,Kimchi,assets/ingredients/kimchi.png,ingredient,approved,Challenge #666 on-demand asset; 1024px RGBA; napa-cabbage kimchi in neutral ceramic bowl; transparent-ground and card QA completed
reis,Reis,assets/open-concepts/reis.png,open-concept,approved,Challenge #666 on-demand asset; 1024px RGBA; long-grain short-grain and whole-grain rice group; transparent-ground and card QA completed
mirin,Mirin,assets/ingredients/mirin.png,ingredient,approved,Challenge #667 on-demand asset; 1024px RGBA; pale-gold mirin in a clear squat cruet; transparent-ground and card QA completed
reisessig,Reisessig,assets/ingredients/reisessig.png,ingredient,approved,Challenge #667 on-demand asset; 1024px RGBA; pale straw rice vinegar in a slender clear bottle; transparent-ground and card QA completed
rum,Rum,assets/ingredients/rum.png,ingredient,approved,Challenge #667 on-demand asset; 1024px RGBA; dark amber rum in a round-shouldered glass bottle; transparent-ground and card QA completed
sake,Sake,assets/ingredients/sake.png,ingredient,approved,Challenge #667 on-demand asset; 1024px RGBA; clear sake in an ivory ceramic tokkuri and ochoko; transparent-ground and card QA completed
