anchor_id,concept_code,decision,effective_cooking_novelty,effective_availability_georgia,effective_availability_tobias,decision_note,evidence
A01,ONION,APPROVED_AS_PROPOSED,1,EASY,EASY,,
A02,POTATO,APPROVED_AS_PROPOSED,1,EASY,EASY,,
A03,CHICKEN,APPROVED_AS_PROPOSED,1,EASY,EASY,,
A04,FISH,APPROVED_AS_PROPOSED,1,EASY,EASY,,
A05,YOGURT,APPROVED_AS_PROPOSED,1,EASY,EASY,,
A06,SAUERKRAUT,APPROVED_AS_PROPOSED,2,EASY,EASY,,
A07,MISO,APPROVED_AS_PROPOSED,2,EASY,EASY,,
A08,GOCHUJANG,APPROVED_AS_PROPOSED,2,PLANNED,PLANNED,Persönliche Beschaffung bestätigt.,
A09,BULGUR,APPROVED_AS_PROPOSED,2,EASY,EASY,,
A10,SUMAC,APPROVED_AS_PROPOSED,2,EASY,PLANNED,Persönliche Beschaffung bestätigt.,
A11,POMEGRANATE_MOLASSES,APPROVED_AS_PROPOSED,3,PLANNED,PLANNED,,
A12,BUCKWHEAT,APPROVED_AS_PROPOSED,2,EASY,EASY,,
A13,BEER,APPROVED_AS_PROPOSED,4,EASY,EASY,,
A14,COFFEE,APPROVED_AS_PROPOSED,4,EASY,EASY,Kochungewöhnlichkeit 4 ausdrücklich freigegeben.,
A15,SAFFRON,APPROVED_AS_PROPOSED,3,EASY,EASY,Persönliche Beschaffung bestätigt; Preis bleibt ohne Einfluss auf Beschaffbarkeit.,
A16,BAGOONG,APPROVED_AS_PROPOSED,3,PLANNED,SPECIALTY,Persönliche Beschaffung bestätigt.,
A17,BAGOONG_ISDA,APPROVED_AS_PROPOSED,3,SPECIALTY,DIFFICULT,,
A18,CALAMANSI,APPROVED_AS_PROPOSED,3,SPECIALTY,DIFFICULT,Produktform freigegeben: frische Frucht oder ungesüßter sortenreiner Saft.,
A19,UBE,APPROVED_AS_PROPOSED,3,SPECIALTY,DIFFICULT,"Produktform freigegeben: frisch, TK oder ungesüßtes reines Püree.",
A20,LONGGANISA,APPROVED_AS_PROPOSED,3,PLANNED,SPECIALTY,Persönliche Beschaffung bestätigt.,
A21,ALIGUE,APPROVED_AS_PROPOSED,4,DIFFICULT,DIFFICULT,,
A22,DRIED_SHRIMP,APPROVED_AS_PROPOSED,3,PLANNED,PLANNED,,
A23,BANANA_LEAVES,APPROVED_AS_PROPOSED,3,PLANNED,SPECIALTY,Persönliche Beschaffung bestätigt.,
A24,HOLY_BASIL,APPROVED_AS_PROPOSED,3,SPECIALTY,SPECIALTY,Persönliche Beschaffung bestätigt.,
A25,THAI_EGGPLANT,APPROVED_AS_PROPOSED,3,SPECIALTY,SPECIALTY,Persönliche Beschaffung bestätigt.,
A26,MAM_TOM,APPROVED_WITH_OVERRIDE,3,SPECIALTY,SPECIALTY,Tobias von DIFFICULT auf SPECIALTY korrigiert: exakte Mắm-tôm-Produkte sind bei mehreren deutschen Händlern normal bestellbar.,"https://asiamoin.com/produkt/gesalzene-garnelenpaste/; https://www.nagofa.de/products/garnelenpaste-ha-n%E1%BB%99i-minh-ha-foods-m%E1%BA%AFm-tom-ha-n%E1%BB%99i-200g"
A27,TAI_PLA,APPROVED_AS_PROPOSED,4,DIFFICULT,DIFFICULT,,
A28,NATTO,APPROVED_AS_PROPOSED,4,PLANNED,SPECIALTY,Persönliche Beschaffung bestätigt.,
