concept_code	display_name	applicability	current_weight	target_weight	change_status	comparison_group	anchor_code	rationale	exception_reference	source_reference
ABURAAGE	Aburaage	APPLICABLE	1.0000	0.7500	CHANGED	TOFU	TOFU	Semantik: Dünne frittierte Tofublätter beziehungsweise -taschen mit schwammiger Struktur. Gemeint ist die ungewürzte Grundware zum Füllen oder Mitgaren, nicht dicker Atsuage oder bereits süß marinierte Inari-Hüllen. Vergleich: Tofu (0.7500) in TOFU. Entscheidungsgrund: Die benannte Zutat ist gegenüber dem Oberbegriff konkretisiert, behält aber mehrere eigenständige Kochfunktionen und Zubereitungswege; die Familienüberschneidung rechtfertigt die maßvolle Verdichtung.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
ADZUKI_BEANS	Adzukibohnen	APPLICABLE	0.4500	0.7500	CHANGED	BEANS	BEANS	Semantik: Kleine rote Bohnen mit mild-nussigem, leicht süßlichem Geschmack; getrocknet oder vorgegart verwendbar. Vergleich: Bohnen (1.0000) in BEANS. Entscheidungsgrund: Art oder Sorte sind festgelegt, doch Zuschnitt, Garmethode und Kombination bleiben in mehreren süßen beziehungsweise herzhaften Anwendungen offen; das entspricht den eigenständigen Rohstoff-Peers der Familie.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
AGAVE_SYRUP	Agavendicksaft	APPLICABLE	0.4500	0.5000	CHANGED	SYRUP	SYRUP	Semantik: Konzentrierter Sirup aus Agaven; süßt neutraler als Honig und bleibt auch kalt gut löslich. Vergleich: Sirup (1.0000) in SYRUP. Entscheidungsgrund: Verarbeitung, Aromaprofil oder fertige Produktfunktion sind bereits deutlich festgelegt; die Zutat ist eigenständig, aber weniger breit integrierbar als der neutrale Familienanker.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
AIOLI	Aioli	APPLICABLE	0.5500	0.5000	CHANGED	READY_SAUCES_AND_PASTES	MAYONNAISE	Semantik: Knoblauch-Öl-Emulsion nach Aioli-/Allioli-Art; traditionell ohne Ei möglich, moderne Varianten können Ei enthalten. Knoblauch und Öl sind definierend; nicht beliebige Mayonnaise mit Knoblaucharoma. Vergleich: Mayonnaise (0.5000) in READY_SAUCES_AND_PASTES. Entscheidungsgrund: Die fertige Würzform bringt ein eigenes Aroma- und häufig Texturprofil mit; gegenüber dem Anker ist sie eigenständig, beschränkt aber freie Würzung und Gerichtsausrichtung, weshalb die Familie kompakt auf dieser Stufe bleibt.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
AJVAR	Ajvar	APPLICABLE	0.5500	0.5000	CHANGED	READY_SAUCES_AND_PASTES	MAYONNAISE	Semantik: Balkanische Paprikazubereitung aus gerösteter Paprika, häufig mit Aubergine; als fertige Würzpaste oder Beilage gemeint. Vergleich: Mayonnaise (0.5000) in READY_SAUCES_AND_PASTES. Entscheidungsgrund: Die fertige Würzform bringt ein eigenes Aroma- und häufig Texturprofil mit; gegenüber dem Anker ist sie eigenständig, beschränkt aber freie Würzung und Gerichtsausrichtung, weshalb die Familie kompakt auf dieser Stufe bleibt.	ISSUE_278_CURRENT_SCOPE_CONTRADICTION	MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
AJWAIN	Ajowan	APPLICABLE	0.2500	0.7500	CHANGED	SPICES	CUMIN	Semantik: Kräftig thymianartig schmeckende Samenfrucht, die meist sparsam und häufig angeröstet als Gewürz verwendet wird. Vergleich: Kreuzkümmel (0.7500) in SPICES. Entscheidungsgrund: Das einzelne Aroma ist klar festgelegt, kann aber über mehrere Gerichte, Techniken und Kombinationen eingesetzt werden; wie beim Anker bleibt ausreichend eigenständige Kochbreite.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
ALE	Ale	APPLICABLE	0.2500	0.2500	UNCHANGED	BEER	BEER	Semantik: Obergäriges Bier der Ale-Familie; etwa Bitter, Pale Ale, Mild oder Brown Ale sind zulässige Ausprägungen. Lager ist nicht gemeint, Stout und Porter werden hier ebenfalls nicht mitgeführt. Vergleich: Bier (0.2500) in BEER. Entscheidungsgrund: Der Alkohol ist als Kochzutat eine geschmacks- und verfahrensprägende Pflichtvorgabe; Sorte und Stil unterscheiden die Aufgabe zusätzlich, weshalb der einheitliche Kochalkoholvertrag 0,25 vorsieht.	COOKING_ALCOHOL_INDEPENDENT_LOW_WEIGHT	MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
ALFALFA_SPROUTS	Alfalfasprossen	APPLICABLE	0.4500	0.7500	CHANGED	SPROUTS	SPROUTS	Semantik: Zarte Luzernensprossen mit mild-grünem Geschmack; vor allem roh oder nur sehr kurz erhitzt verwendbar. Vergleich: Sprossen (1.0000) in SPROUTS. Entscheidungsgrund: Die benannte Zutat ist gegenüber dem Oberbegriff konkretisiert, behält aber mehrere eigenständige Kochfunktionen und Zubereitungswege; die Familienüberschneidung rechtfertigt die maßvolle Verdichtung.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
ALIGUE	Aligue	APPLICABLE	0.1800	0.2500	CHANGED	READY_SAUCES_AND_PASTES	MAYONNAISE	Semantik: Philippinische Würzpaste aus ausgelassenem Krabbenfett mit intensiv meeresfruchtig-röstigem Aroma; meist sparsam zum Aromatisieren verwendet. Vergleich: Mayonnaise (0.5000) in READY_SAUCES_AND_PASTES. Entscheidungsgrund: Die fermentierte Krabbenfettpaste verbindet Rohstoff, starke Salzigkeit, Fettigkeit und Würzfunktion so eng, dass sie Gerichtsrichtung und Dosierung stärker bindet als gewöhnliche fertige Saucen.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
ALLIUM_VEGETABLES	Lauch- und Zwiebelgemüse	APPLICABLE	0.5500	1.0000	CHANGED	VEGETABLES	VEGETABLES	Semantik: Offene Vorgabe für Zwiebel-, Lauch- und verwandte Gemüsearten mit schwefelig-aromatischer Würzwirkung. Vergleich: Gemüse (1.0000) in VEGETABLES. Entscheidungsgrund: Die Zeile ist eine breite drawable Rohstofffamilie und lässt Sorte sowie rohe, gegarte oder weiterverarbeitete Umsetzung offen; sie bleibt deshalb der volle Referenzpunkt.		MAIN_C604408_FULL_MASTER_POSTGRESQL17;ISSUE_288_AGENTIC_REVIEW_2026-09-17
