anchor_id,concept_code,display_name,proposed_availability_georgia,proposed_availability_tobias,anchor_role,market_basis,prior_effective_before_reset_georgia,prior_effective_before_reset_tobias,decision_status
AV2-001,ONION,Zwiebel,EASY,EASY,EASY_GATE,Gewöhnlicher lokaler Supermarkt- und Discounterstandard mit sehr hoher Trefferwahrscheinlichkeit.,EASY,EASY,PROPOSED_FOR_HUMAN_APPROVAL
AV2-002,POTATO,Kartoffel,EASY,EASY,EASY_GATE,Gewöhnlicher lokaler Supermarkt- und Discounterstandard mit alltäglichen Ausweichquellen.,EASY,EASY,PROPOSED_FOR_HUMAN_APPROVAL
AV2-003,CHICKEN,Hähnchen,EASY,EASY,EASY_GATE,Gängige Hähnchenformen gehören zum gewöhnlichen lokalen Supermarktsortiment.,EASY,EASY,PROPOSED_FOR_HUMAN_APPROVAL
AV2-004,FISH,Fisch,EASY,EASY,EASY_GATE,Der offene Begriff kann durch gängigen frischen oder tiefgekühlten Speisefisch aus dem normalen Supermarkt erfüllt werden.,EASY,EASY,PROPOSED_FOR_HUMAN_APPROVAL
AV2-005,YOGURT,Joghurt,EASY,EASY,EASY_GATE,Breiter Supermarkt- und Discounterstandard.,EASY,EASY,PROPOSED_FOR_HUMAN_APPROVAL
AV2-006,SAUERKRAUT,Sauerkraut,EASY,EASY,EASY_GATE,"Konserve, Beutel oder Kühlware sind im allgemeinen lokalen Handel regelmäßig vorhanden.",EASY,EASY,PROPOSED_FOR_HUMAN_APPROVAL
AV2-007,BEER,Bier,EASY,EASY,EASY_GATE,Breiter allgemeiner Supermarkt- und Discounterstandard; die ungewöhnliche Kochverwendung bleibt davon getrennt.,EASY,EASY,PROPOSED_FOR_HUMAN_APPROVAL
AV2-008,COFFEE,Kaffee,EASY,EASY,EASY_GATE,Breiter allgemeiner Supermarkt- und Discounterstandard.,EASY,EASY,PROPOSED_FOR_HUMAN_APPROVAL
AV2-009,CORIANDER_SEED,Koriandersaat,EASY,EASY,EASY_GATE,Gewöhnliches Gewürzregal größerer wie auch vieler kleinerer Supermärkte.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-010,GARLIC,Knoblauch,EASY,EASY,EASY_GATE,Gewöhnlicher lokaler Obst- und Gemüsestandard.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-011,RICE,Reis,EASY,EASY,EASY_GATE,Der offene Begriff lässt sich in jedem gewöhnlichen Supermarkt zuverlässig erfüllen.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-012,LIQUORICE,Lakritz,EASY,EASY,EASY_GATE,Gewöhnliche Lakritzware ist im allgemeinen Süßwarensortiment zuverlässig erhältlich.,EASY,EASY,PROPOSED_FOR_HUMAN_APPROVAL
AV2-013,MISO,Miso,PLANNED,PLANNED,PLANNED_GATE,Mehrere Produkte sind in großen allgemeinen Handelsketten und im breiten deutschen Onlinehandel gelistet; dennoch kein verlässlicher Standard jedes lokalen Markts.,EASY,EASY,PROPOSED_FOR_HUMAN_APPROVAL
AV2-014,BULGUR,Bulgur,PLANNED,PLANNED,PLANNED_GATE,In gut sortierten allgemeinen Märkten und im breiten Onlinehandel zuverlässig erhältlich aber nicht mit der für EASY verlangten nahezu universellen lokalen Trefferquote.,EASY,EASY,PROPOSED_FOR_HUMAN_APPROVAL
AV2-015,BUCKWHEAT,Buchweizen,PLANNED,PLANNED,PLANNED_GATE,"Breit im allgemeinen Bio-, Drogerie- und Onlinehandel verfügbar, lokal jedoch nicht überall Standard.",EASY,EASY,PROPOSED_FOR_HUMAN_APPROVAL
AV2-016,SAFFRON,Safran,PLANNED,PLANNED,PLANNED_GATE,In gut sortierten Supermärkten und im breiten Gewürzhandel zuverlässig planbar; die strenge EASY-Ausweichquellenregel ist nicht überall erfüllt.,EASY,EASY,PROPOSED_FOR_HUMAN_APPROVAL
AV2-017,LOBSTER,Hummer,PLANNED,PLANNED,PLANNED_GATE,Über etablierten Fischfachhandel und allgemeinen deutschen Seafood-Versand planbar; hoher Preis ist kein Availability-Grund.,PLANNED,PLANNED,PROPOSED_FOR_HUMAN_APPROVAL
AV2-018,WATERCRESS,Brunnenkresse,PLANNED,PLANNED,PLANNED_GATE,Über gut sortierten Frischehandel und planbare deutsche Frischewege erhältlich aber kein spontaner Standardartikel.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-019,EEL,Aal,PLANNED,PLANNED,PLANNED_GATE,"Fischhändler, Wochenmarkt oder etablierter Fischversand sind gezielte grundsätzlich robuste Wege; kein EASY-Supermarktstandard.",,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-020,HADDOCK,Schellfisch,PLANNED,PLANNED,PLANNED_GATE,"Über Fischtheke, Fischfachhandel oder allgemeinen Fischversand planbar; Rostock verbessert die Chance, nicht die Marktklasse.",,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-021,NORTH_SEA_SHRIMP,Nordseekrabben,PLANNED,PLANNED,PLANNED_GATE,Gezielter Fischhandel beziehungsweise verbreiteter deutscher Seafood-Versand; regionale Nähe macht daraus keinen Supermarktstandard.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-022,SMOKED_TROUT,Räucherforelle,PLANNED,PLANNED,PLANNED_GATE,In gut sortierten Märkten und Fischfachhandel verlässlich planbar aber nicht in jeder alltäglichen Ausweichquelle.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-023,SHERRY_VINEGAR,Sherryessig,PLANNED,PLANNED,PLANNED_GATE,Breiter allgemeiner Feinkost- und deutscher Onlinehandel ohne Abhängigkeit von einem engen spanischen Importmarkt.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-024,NUTRITIONAL_YEAST,Hefeflocken,PLANNED,PLANNED,PLANNED_GATE,"Breit im Bio-, Drogerie- und allgemeinen deutschen Onlinehandel etabliert, lokal aber nicht universell.",,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-025,SUSHI_RICE,Sushireis,PLANNED,PLANNED,PLANNED_GATE,In gut sortierten allgemeinen Märkten und im breiten Onlinehandel robust erhältlich jedoch nicht zwingend lokaler Standard.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-026,DATE_SYRUP,Dattelsirup,PLANNED,SPECIALTY,PROFILE_BOUNDARY,Georgia hat einen konkreten breiteren türkisch-/arabischen Fachmarktweg; Tobias benötigt eher den einschlägigen Spezialhandel. Keine Seite erhält EASY allein aus Demografie.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-027,HARISSA,Harissa,PLANNED,SPECIALTY,PROFILE_BOUNDARY,Für Georgia konkret planbarer regionaler Fachmarkt; für Tobias breit verfügbarer aber gezielt einschlägiger Spezialmarkt.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-028,PUL_BIBER,Pul Biber,PLANNED,SPECIALTY,PROFILE_BOUNDARY,Georgias erreichbares türkisches Fachsortiment kann einen robusten geplanten Weg tragen; Tobias bleibt auf breiten Spezialhandel angewiesen.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-029,ZAATAR,Za’atar,PLANNED,SPECIALTY,PROFILE_BOUNDARY,Georgias regionaler Fachmarktweg ist planbar; Tobias benötigt den breit etablierten arabischen Spezialmarkt.,,,PROPOSED_FOR_HUMAN_APPROVAL
AV2-030,SUMAC,Sumach,PLANNED,SPECIALTY,PROFILE_BOUNDARY,Konkreter regionaler Fachmarktweg für Georgia; Tobias benötigt einschlägigen Spezialhandel. Persönliche Erfahrung macht die Quelle nicht zu EASY.,EASY,PLANNED,PROPOSED_FOR_HUMAN_APPROVAL
AV2-031,POMEGRANATE_MOLASSES,Granatapfelmelasse,PLANNED,SPECIALTY,PROFILE_BOUNDARY,Für Georgia über breiteren nahöstlichen Fachmarkt planbar; für Tobias typisches Produkt des breiten Spezialmarkts.,PLANNED,PLANNED,PROPOSED_FOR_HUMAN_APPROVAL
