"evidence_id","evidence_type","checked_on","scope","person_relevance","evidence_role","supported_ratings","url","search_terms","finding","limitations"
"EV01","PRODUCT_PAGE","2026-09-03","FROG_LEGS","Georgia|Tobias","EXACT_RETAIL","SPECIALTY","https://asiamoin.com/produkt/froschschenkel-900g/","Froschschenkel TK Deutschland bestellen","Exakte tiefgekühlte Froschschenkel sind als haushaltsübliche Packung bei einem deutschen Fachhändler gelistet.","Tiefkühlzustellung und Bestand sind stichtagsabhängig; kein Alltagsangebot."
"EV02","PRODUCT_PAGE","2026-09-03","FRESHWATER_SNAILS","Georgia|Tobias","EXACT_RETAIL","SPECIALTY","https://asiamoin.com/produkt/apfelschneckenfleisch-asian-pearl-450g/","Apfelschneckenfleisch TK Deutschland bestellen","Exaktes tiefgekühltes Apfelschneckenfleisch ist als haushaltsübliche Packung im deutschen Spezialversand gelistet.","Geeignete Tiefkühlzustellung und aktueller Bestand müssen geprüft werden."
"EV03","PRODUCT_PAGE","2026-09-03","FISH_MINT","Georgia|Tobias","EXACT_RETAIL","SPECIALTY","https://deaflora.de/Shop/Koriander/Vap-Ca-Boo-Boo.html?language=de","Houttuynia cordata essbar Pflanze Deutschland kaufen","Essbare Houttuynia cordata wird als lebende Pflanze im deutschen Pflanzenversand angeboten; diese Form ist im Katalog zugelassen.","Lebende Pflanze statt geschnittenem Kraut; saisonaler Pflanzenbestand."
"EV04","CATEGORY_PAGE","2026-09-03","MAM_TOM|MAM_RUOC|MAM_NEM|MUOI_TOM|PLA_RA|VIETNAMESE_SOYBEAN_PASTE","Georgia|Tobias","CONTEXT_ONLY","","https://www.nagofa.de/collections/sonstige-gewurze","vietnamesische fermentierte Würzen deutscher Fachhandel","Die Kategorie zeigt die grundsätzliche deutsche Fachhandelsroute für vietnamesische Würzen.","Eine Kategorie belegt keine exakte Produktform und wird deshalb keiner Bewertung zugeordnet."
"EV05","PRODUCT_AND_STOCK_REVIEW","2026-09-03","STOCKFISH","Georgia|Tobias","CONTEXT_ONLY","","https://norwegianshop24.com/de/products/norsk-torrfisk-50g","Tørrfisk ungesalzener Kabeljau Deutschland bestellen","Das exakte Produkt aus 100 Prozent ungesalzenem getrocknetem Kabeljau ist ausverkauft; vorrätige Tørrfisk-Snacks und -Chips erfüllen die offene Naturproduktform nicht.","Dieser einzelne ausverkaufte Norwegenshop widerlegt die inzwischen belegten lieferbaren deutschen Haushaltswege nicht und trägt keine Bewertung mehr."
"EV06","CATEGORY_PAGE","2026-09-03","BAGOONG|BAGOONG_ISDA|DAING|MACAPUNO|MILKFISH|TABLEA","Georgia|Tobias","CONTEXT_ONLY","","https://www.filipinoasianstore.de/c/kategorie/konserven-und-glaeser/fisch-und-meeresfruechte","philippinischer Spezialhandel Bagoong Fischprodukte Deutschland","Die Kategorie belegt eine philippinische Fachhandelsroute in Deutschland.","Sie belegt weder exakte Produktform noch aktuellen Bestand einzelner Konzepte und wird nicht als Entscheidungsbeleg verwendet."
"EV07","LOCAL_RETAILER_PAGE","2026-09-03","LONGGANISA|BANANA_LEAVES|DAING|BAGOONG","Georgia","CONTEXT_ONLY","","https://philippineshop-cologne.de/sortiment/","Philippinen Shop Köln Sortiment Longganisa","Der Kölner Laden nennt Longganisa und ein breites philippinisches Sortiment und stützt Georgias regionale Kontextannahme.","Die Sortimentsseite bestätigt keine Verfügbarkeit jeder exakten Produktform."
"EV08","LOCAL_RETAILER_PAGE","2026-09-03","BANANA_LEAVES|CULANTRO|GARLIC_CHIVES|GIO_LUA|LA_LOT_LEAVES|LONGGANISA|PERILLA_LEAVES|SALTED_DUCK_EGG|WATER_SPINACH","Georgia","CONTEXT_ONLY","","https://henglong.de/","Kölner Asiamarkt Frischgemüse Tiefkühl Sortiment","Der große Kölner Asiamarkt stützt Georgias erreichbare Fachhandelsroute für asiatische Frisch- und Tiefkühlware.","Die Händlerseite nennt keine verlässlichen Einzelbestände und trägt keine Bewertung."
"EV09","LOCAL_AND_ONLINE_RETAILER_PAGE","2026-09-03","CULANTRO|GARLIC_CHIVES|LA_LOT_LEAVES|PERILLA_LEAVES|WATER_SPINACH","Georgia|Tobias","CONTEXT_ONLY","","https://freshasia.de/de/content/4-about-us","Asia Frischgemüse deutscher Versand Düsseldorf","Der Händler beschreibt Düsseldorfer Markt und deutschen Versand mit Frischgemüse.","Eine allgemeine Händlerroute ersetzt weder exakte Artikelseite noch Kühlkettenprüfung."
"EV10","PRODUCT_PAGE","2026-09-03","THAI_BASIL","Georgia|Tobias","CONTEXT_ONLY","","https://asia4friends.de/frischer-thai-basilikum-horapa-bund","Thai Basil Horapa frisch Deutschland kaufen","Die Seite betrifft ausdrücklich Thai-Basilikum Horapa.","Horapa ist nicht Holy Basil und diese Evidenz wird keinem Holy-Basil-Entscheid zugeordnet."
"EV11","CATEGORY_PAGE","2026-09-03","POBLANO|TOMATILLO|MASA_HARINA|MOLE_PASTE","Georgia|Tobias","CONTEXT_ONLY","","https://www.mex-al.de/de/food/","Mexiko Fachhandel Deutschland Poblano Tomatillo","Der deutsche Fachhandel zeigt getrocknete beziehungsweise konservierte mexikanische Ware.","Die Kategorie bestätigt keine frische Poblano- oder Tomatillo-Produktform."
"EV12","ONLINE_RETAILER_PAGE","2026-09-03","CURRY_LEAVES|BANANA_LEAVES","Georgia|Tobias","EXACT_RETAIL","PLANNED|SPECIALTY","https://patelmarkt.de/de/shop","frische Curryblätter Bananenblätter Deutschland bestellen","Der deutsche Indien-Fachhändler listet frische Curryblätter und Bananenblätter als konkrete Produkte.","Frischware, Liefergebiet und Tagesbestand müssen vor Bestellung geprüft werden."
"EV13","ONLINE_RETAILER_PAGE","2026-09-03","CURRY_LEAVES|BITTER_MELON|OKRA","Georgia|Tobias","CONTEXT_ONLY","","https://dostana-foods.com/","indischer Fachhandel frische Curryblätter Deutschland","Ein weiterer deutscher Indien-Fachhandel stützt den allgemeinen Frischwarenkontext.","Ohne stabile exakte Artikelseite wird diese Quelle keiner Bewertung zugeordnet."
"EV14","PRODUCT_PAGE","2026-09-03","EGUSI_SEEDS","Georgia|Tobias","EXACT_RETAIL","SPECIALTY","https://www.asiatischer-lebensmittelladen.de/produkt/huelsenfruechte-linsen/huelsenfruechte/nina-egusi-samen-227g/","Egusi Samen Deutschland bestellen","Ein deutscher Endkundenshop listet exakte Egusi-Samen als vorrätige 227-g-Packung mit Warenkorb und Paketversand.","Spezialversand und Tagesbestand; die Produktseite belegt nur Egusi und keine austauschbaren Kürbis- oder Gartensamen."
"EV15","PRODUCT_PAGE","2026-09-03","BRUNOST","Georgia|Tobias","EXACT_RETAIL","SPECIALTY","https://norwegianfoodstore.com/en-eu/products/brown-cheese-1-kg-brunost-gudbrandsdalsost","Brunost Gudbrandsdalsost Deutschland EU bestellen","Der EU-liefernde Endkundenshop listet exakten Brunost beziehungsweise Gudbrandsdalsost als bestellbares 1-kg-Produkt mit Warenkorb.","Versand aus Norwegen ohne Kühlung und damit temperaturabhängig; Einfuhr- und Tagesbestand sind vor Bestellung zu prüfen."
"EV16","SHIPPING_POLICY","2026-09-03","BRUNOST|FENALAR|PINNEKJOTT|KLIPPFISH|ROD_POLSE|LUTEFISK","Georgia|Tobias","CONTEXT_ONLY","","https://norwegianfoodstore.com/en-eu/policies/shipping-policy","Norwegian Food Store Versand Deutschland Kühlung","Die Versandrichtlinie beschreibt DHL-Express-Versand nach Europa.","Sie garantiert keine Kühlung und belegt allein keine konkrete Produktverfügbarkeit."
"EV17","ONLINE_RETAILER_PAGE","2026-09-03","ROOKWORST","Georgia|Tobias","CONTEXT_ONLY","","https://www.hollandshop24.de/","Rookworst deutscher Onlineshop","Der deutsche Niederlande-Fachhandel führt Rookworst im Versandsortiment.","Der Beleg wird in der aktuellen Bewertung nicht benötigt und bleibt nur Kontext."
"EV18","PRODUCT_PAGE","2026-09-03","OLOMOUC_TVARUZKY","Georgia|Tobias","EXACT_RETAIL","SPECIALTY","https://tsche-deu.de/tschechische-produkte-fuer-alle/molkereiprodukte/3240/olomoucke-tvaruzky-s-kminem-6x125g-olmuetzer-kaesestuecke-mit-kuemmel","Olomoucké tvarůžky Deutschland bestellen","Der deutsche Tschechien-Fachhandel listet exakt Olmützer Quargel als sofort verfügbare Kühlware für Endkunden.","Sechserpack mit Kümmel und sieben bis zwölf Tage Lieferzeit; sie belegt weder Kolache noch eingelegte Wurst."
"EV19","PRODUCT_PAGE","2026-09-03","HERVE_CHEESE","Georgia|Tobias","EXACT_RETAIL","SPECIALTY","https://www.bosfood.de/shop-detail/kategorie/kaese/subkategorie/weichkaese/produkt/fromage-de-herve-aop-belgischer-weichkaese-bio-100-g_69254.html","Fromage de Herve AOP Deutschland kaufen","Exakter Fromage de Herve AOP ist als haushaltsübliche Packung bei einem deutschen Feinkostversand gelistet.","Kühlversand und Tagesbestand; spezialisiertes statt alltägliches Sortiment."
"EV20","CATEGORY_PAGE","2026-09-03","VEAL_SWEETBREAD|VEAL_LIVER|BEEF_LIVER","Georgia|Tobias","CONTEXT_ONLY","","https://meinmetzger.de/index.php/fleisch/innereien.html","Innereien Kalbsbries Kalbsleber Rinderleber bestellen","Die Metzgereikategorie zeigt eine deutsche Versandroute für Innereien.","Die Kategorie allein belegt keine einzelne seltene Teilform; dafür dient eine exakte Produktseite."
"EV21","PRODUCT_PAGE","2026-09-03","VEAL_SWEETBREAD","Georgia|Tobias","EXACT_RETAIL","SPECIALTY","https://meinmetzger.de/index.php/kalbsbries.html","Kalbsbries Deutschland bestellen","Kalbsbries ist als exaktes gekühltes Produkt bei einem deutschen Metzgereiversand gelistet.","Kühlversand und Bestand sind stichtagsabhängig."
"EV22","CATEGORY_PAGE","2026-09-03","MOOSE|REINDEER|MORCILLA|SOBRASADA","Georgia|Tobias","CONTEXT_ONLY","","https://www.otto-gourmet.de/fleisch.html?p=4","Spezialfleisch Wild Wurst deutscher Versand","Die breite Kategorie zeigt allgemeinen Zugang zu Spezialfleisch.","Sie ist keine exakte Evidenz für Elch, Rentier, Morcilla oder Sobrasada und wird keiner Entscheidung zugeordnet."
"EV23","CATEGORY_PAGE","2026-09-03","HAKE|HALIBUT|MONKFISH|PIKEPERCH|REDFISH","Georgia|Tobias","CONTEXT_ONLY","","https://www.send-a-fish.de/frischfisch/spezialitaeten/","Spezialfisch deutscher Frischfischversand","Die Kategorie stützt den allgemeinen deutschen Frischfischversandkontext.","Sie belegt nicht automatisch jede einzelne Fischart und wird hier nicht als Entscheidungsbeleg verwendet."
