"concept_code"	"display_name"	"previous_cooking_novelty"	"proposed_cooking_novelty"	"delta"	"absolute_delta"	"novelty_rationale"	"review_flags"
"ADZUKI_BEANS"	"Adzukibohnen"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"AGAVE_SYRUP"	"Agavendicksaft"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"AIOLI"	"Aioli"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"AJWAIN"	"Ajwain"	"5"	"3"	"-2"	"2"	"Klassisches Gewürz in südasiatischen Gerichten, außerhalb dieses Kontexts jedoch deutlich richtungsgebend."	"BOUNDARY_2_3|CHANGED_FROM_BASELINE|LARGE_CHANGE"
"ALFALFA_SPROUTS"	"Alfalfasprossen"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"ALIGUE"	"Aligue"	"5"	"4"	"-1"	"1"	"Die intensive Krabbenfettpaste hat nur wenige naheliegende Würzrollen und prägt ein Gericht sehr stark."	"APPROVED_ANCHOR|LEVEL_4|CHANGED_FROM_BASELINE"
"ALMOND_DRINK"	"Mandeldrink"	"1"	"2"	"1"	"1"	""	"CHANGED_FROM_BASELINE"
"AMARANTH"	"Amaranth"	"3"	"2"	"-1"	"1"	""	"CHANGED_FROM_BASELINE"
"ANCHO_CHILI"	"Ancho-Chili"	"4"	"3"	"-1"	"1"	"Als getrocknete Chili in mexikanischen Saucen konventionell, darüber hinaus aber klar kontextgebunden."	"BOUNDARY_2_3|PARENT_CHILD_OUTLIER|CHANGED_FROM_BASELINE"
"ANNATTO"	"Annatto"	"4"	"3"	"-1"	"1"	"Als Farb- und Würzmittel in bestimmten lateinamerikanischen und philippinischen Kontexten konventionell."	"CHANGED_FROM_BASELINE"
"AQUAVIT"	"Aquavit"	"3"	"4"	"1"	"1"	"Als Kochzutat auf wenige Saucen, Marinaden und skandinavisch geprägte Anwendungen begrenzt."	"LEVEL_4|CHANGED_FROM_BASELINE"
