"evidence_id","checked_on","concept_code","product_form","market_scope","market_breadth","person_relevance","supported_rating","evidence_role","source_name","url","availability_status","shipping_scope","logistics","search_terms","finding","limitations"
"AV2N-QA-0009","2026-09-04","BLOOD_SAUSAGE","Wurstfamilie mit Blut als prägendem Bestandteil; Gewürzung, Getreideanteil und Konsistenz können regional variieren.","REGIONAL","GENERAL_LOCAL","Georgia","EASY","EXACT_ROUTE","REWE – Blutwurst nach Hausmacher Art","https://www.rewe.de/shop/p/blutwurst-nach-hausmacher-art/8633087","REGULAR_RANGE","Georgia-Profil: gewöhnliche nahe REWE-Filialen im Raum Bornheim; konkrete Thekenbelegung bleibt standortabhängig","STANDARD_LOCAL","Blutwurst Hausmacher Art REWE Schweineblut gewöhnliche lokale Wursttheke Bornheim Produktseite Sortiment","Die offizielle REWE-Produktseite nennt eine gekühlte Hausmacher-Blutwurst mit 24,2 Prozent Schweineblut und belegt damit eine formtreue gewöhnliche Wurstthekenroute für Georgia.","Die konkrete Bedienungstheke ist filialabhängig; die abgepackte EDEKA-Rotwurst AV2N-QA-0010 bildet einen unabhängigen allgemeinen Ausweichweg."
"AV2N-QA-0010","2026-09-04","BLOOD_SAUSAGE","Wurstfamilie mit Blut als prägendem Bestandteil; Gewürzung, Getreideanteil und Konsistenz können regional variieren.","REGIONAL","GENERAL_LOCAL","Georgia","EASY","EXACT_ROUTE","EDEKA GUT&GÜNSTIG – Rotwurst 200 g","https://www.edeka.de/unsere-marken/produkte/gut-guenstig-rotwurst-4311596068623.jsp","REGULAR_RANGE","Georgia-Profil: gewöhnliche nahe EDEKA-Filialen im Raum Bornheim; konkrete Filialverfügbarkeit bleibt standortabhängig","STANDARD_LOCAL","Blutwurst Rotwurst EDEKA Gut Günstig Schweineblut gewöhnliches lokales Kühlregal Bornheim Produktseite Sortiment","Die offizielle EDEKA-Eigenmarkenseite führt abgepackte Rotwurst mit Schweineblut und belegt für Georgia eine von der REWE-Theke unabhängige formtreue Alltagsausweichquelle.","Nicht jeder EDEKA-Markt führt jeden Artikel; zusammen mit dem unabhängigen Thekenweg besteht dennoch eine gewöhnliche lokale Alternative ohne Spezialmarkt."
"AV2N-QA-0011","2026-09-04","CHORIZO","Kräftig gewürzte Wurst der Chorizo-Familie; frische mexikanische und gereifte iberische Formen sind mögliche Ausprägungen.","REGIONAL","GENERAL_LOCAL","Georgia","EASY","EXACT_ROUTE","REWE Feine Welt – Chorizo Duroc 220 g","https://www.rewe.de/shop/p/rewe-feine-welt-chorizo-duroc-220g/8287419","REGULAR_RANGE","Georgia-Profil: gewöhnliche nahe REWE-Filialen im Raum Bornheim; konkrete Filialverfügbarkeit bleibt standortabhängig","STANDARD_LOCAL","Chorizo Duroc REWE Feine Welt Paprika Knoblauch gewöhnliches lokales Wurstregal Bornheim Produktseite Sortiment","Die offizielle REWE-Eigenmarkenseite führt eine spanische Chorizo mit Paprika und Knoblauch zum Braten und belegt eine formtreue gewöhnliche Kühlregalroute für Georgia.","Der konkrete Filialbestand bleibt standortabhängig; die Lidl-Chorizo-Salami AV2N-QA-0012 zeigt einen unabhängigen Discounter-Ausweichweg."
"AV2N-QA-0012","2026-09-04","CHORIZO","Kräftig gewürzte Wurst der Chorizo-Familie; frische mexikanische und gereifte iberische Formen sind mögliche Ausprägungen.","REGIONAL","GENERAL_LOCAL","Georgia","EASY","EXACT_ROUTE","Lidl Dulano Selection – Chorizo-Salami","https://www.lidl.de/p/dulano-selection-internationaler-salami-aufschnitt/p2432150","REGULAR_RANGE","Georgia-Profil: gewöhnliche nahe Lidl-Filialen im Raum Bornheim; konkrete Filialverfügbarkeit bleibt standortabhängig","STANDARD_LOCAL","Chorizo Salami Lidl Dulano Selection gewöhnlicher lokaler Discounter Bornheim Produktseite Sortiment","Die offizielle Lidl-Produktseite führt Chorizo-Salami im internationalen Salamiaufschnitt und belegt für Georgia einen vom REWE-Kühlartikel unabhängigen formtreuen Discounterweg.","Das konkrete Packungsangebot kann filial- oder chargenabhängig sein; gemeinsam mit der REWE-Eigenmarke ist kein Spezialmarkt erforderlich."
"AV2N-QA-0013","2026-09-04","CRUSTACEANS","Offene Vorgabe für Krebstiere wie Garnelen, Krabben, Hummer oder Flusskrebse; nicht Muscheln oder Tintenfische.","REGIONAL","GENERAL_LOCAL","Georgia","EASY","EXACT_ROUTE","REWE ja! – Eismeergarnelen 100 g","https://www.rewe.de/shop/p/ja-eismeergarnelen-100g/9544145","REGULAR_RANGE","Georgia-Profil: gewöhnliche nahe REWE-Filialen im Raum Bornheim; konkrete Filialverfügbarkeit bleibt standortabhängig","STANDARD_LOCAL","Krustentiere Krebstiere Eismeergarnelen REWE ja gewöhnlicher lokaler Supermarkt Bornheim Produktseite Sortiment","Die offizielle REWE-Produktseite führt gekühlte Eismeergarnelen der Eigenmarke und erfüllt die offene Krebstierform über eine gewöhnliche lokale Kühlregalroute für Georgia.","Der Artikelbestand kann filialabhängig sein; das unabhängige EDEKA-TK-Produkt AV2N-QA-0014 bildet die alltägliche Ausweichquelle."
"AV2N-QA-0014","2026-09-04","CRUSTACEANS","Offene Vorgabe für Krebstiere wie Garnelen, Krabben, Hummer oder Flusskrebse; nicht Muscheln oder Tintenfische.","REGIONAL","GENERAL_LOCAL","Georgia","EASY","EXACT_ROUTE","EDEKA – Eismeer-Garnelen 225 g","https://www.edeka.de/unsere-marken/produkte/edeka-eismeer-garnelen-4311501488089.jsp","REGULAR_RANGE","Georgia-Profil: gewöhnliche nahe EDEKA-Filialen im Raum Bornheim; konkrete Filialverfügbarkeit bleibt standortabhängig","STANDARD_LOCAL","Krustentiere Krebstiere Eismeergarnelen EDEKA tiefgekühlt gewöhnlicher lokaler Supermarkt Bornheim Produktseite Sortiment","Die offizielle EDEKA-Produktseite führt tiefgekühlte Eismeer-Garnelen und belegt für Georgia eine von REWE unabhängige formtreue Alltagsausweichquelle für die offene Krebstierfamilie.","Nicht jeder EDEKA-Markt führt jeden Artikel; unabhängige Kühl- und TK-Wege stützen gemeinsam die hohe lokale Trefferwahrscheinlichkeit."
"AV2N-QA-0001","2026-09-04","OILY_FISH","Offene Vorgabe für fettreiche Fischarten mit kräftigerem Geschmack und saftigem Fleisch.","REGIONAL","GENERAL_LOCAL","Georgia","EASY","EXACT_ROUTE","REWE – Lachsfilet aus der Servicetheke","https://www.rewe.de/shop/p/lachsfilet/7252341","REGULAR_RANGE","Georgia-Profil: gewöhnliche nahe REWE-Filialen im Raum Bornheim; konkrete Filialverfügbarkeit bleibt standortabhängig","STANDARD_LOCAL","fettreicher Fisch Lachsfilet REWE gewöhnlicher lokaler Supermarkt Bornheim Produktseite Sortiment","Die offizielle REWE-Produktseite führt gekühltes Lachsfilet und belegt damit eine formtreue fettreiche Fischoption im gewöhnlichen lokalen Supermarktsortiment für Georgia.","Der konkrete Filialbestand ist standortabhängig; als EASY-Beleg zählt die Route zusammen mit der unabhängigen EDEKA-TK-Ausweichquelle AV2N-QA-0002."
"AV2N-QA-0002","2026-09-04","OILY_FISH","Offene Vorgabe für fettreiche Fischarten mit kräftigerem Geschmack und saftigem Fleisch.","REGIONAL","GENERAL_LOCAL","Georgia","EASY","EXACT_ROUTE","EDEKA – Bio norwegische Lachsfilets","https://www.edeka.de/unsere-marken/produkte/edeka-bio-norwegische-lachsfilets-4311501684207/","REGULAR_RANGE","Georgia-Profil: gewöhnliche nahe EDEKA-Filialen im Raum Bornheim; konkrete Filialverfügbarkeit bleibt standortabhängig","STANDARD_LOCAL","fettreicher Fisch Lachsfilet EDEKA tiefgekühlt gewöhnlicher lokaler Supermarkt Bornheim Produktseite Sortiment","Die offizielle EDEKA-Produktseite führt tiefgekühlte norwegische Lachsfilets und bildet eine von der REWE-Theke unabhängige formtreue Alltagsausweichquelle für Georgia.","Nicht jeder EDEKA-Markt führt jeden Artikel; die unabhängigen Frisch- und TK-Wege tragen gemeinsam die hohe lokale Trefferwahrscheinlichkeit."
"AV2N-QA-0003","2026-09-04","PILSNER_LAGER","Helles untergäriges Lagerbier nach Pilsner Art mit deutlich hopfenbetontem Profil. Gemeint ist der Bierstil, nicht eine bestimmte Marke; Pilsner Urquell ist historischer Referenztyp.","REGIONAL","GENERAL_LOCAL","Georgia","EASY","EXACT_ROUTE","REWE – Krombacher Pils 0,5 l","https://www.rewe.de/shop/p/krombacher-pils-0-5l/16970","REGULAR_RANGE","Georgia-Profil: gewöhnliche nahe REWE-Filialen im Raum Bornheim; konkrete Filialverfügbarkeit bleibt standortabhängig","STANDARD_LOCAL","Pilsner Lager Pils REWE gewöhnlicher lokaler Getränkegang Bornheim Produktseite Sortiment","Die offizielle REWE-Produktseite führt ein untergäriges, hopfenbetontes Pils und belegt einen formtreuen Weg im gewöhnlichen lokalen Getränkesortiment für Georgia.","Die einzelne Marke kann filialabhängig sein; für den offenen Bierstil besteht mit AV2N-QA-0004 eine unabhängige allgemeine Ausweichquelle."
"AV2N-QA-0004","2026-09-04","PILSNER_LAGER","Helles untergäriges Lagerbier nach Pilsner Art mit deutlich hopfenbetontem Profil. Gemeint ist der Bierstil, nicht eine bestimmte Marke; Pilsner Urquell ist historischer Referenztyp.","REGIONAL","GENERAL_LOCAL","Georgia","EASY","EXACT_ROUTE","EDEKA – Ratskrone Pilsener","https://www.edeka.de/unsere-marken/produkte/ratskrone-pilsener-4311596435784.jsp","REGULAR_RANGE","Georgia-Profil: gewöhnliche nahe EDEKA-Filialen im Raum Bornheim; konkrete Filialverfügbarkeit bleibt standortabhängig","STANDARD_LOCAL","Pilsner Lager Ratskrone Pilsener EDEKA gewöhnlicher lokaler Getränkegang Bornheim Produktseite Sortiment","Die offizielle EDEKA-Produktseite führt ein helles, feinherbes Pilsener und belegt für Georgia eine unabhängige formtreue Alltagsausweichquelle außerhalb des REWE-Sortiments.","Nicht jeder EDEKA-Markt führt die konkrete Eigenmarke; bewertet wird der offene Pilsner-Stil mit mehreren üblichen Markenwegen, nicht diese Marke allein."
